Page ID,Page Name,Disclaimer,Amount Spent (PLN)
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,7466
107898832590939,European Commission,These ads ran without a disclaimer,7431
1496105257172584,"Ministerstwo Rozwoju, Pracy i Technologii","Ministerstwo Rozwoju, Pracy i Technologii",7366
141366725876424,European Greens,European Greens,7364
821489871370233,Rafał Romanowski,Piotr Wyrzykowski,7347
100560075131498,Arrena.pl,ARRENA.PL,7275
102931488739,Platforma Obywatelska,KKW Koalicja Obywatelska PO .N iPL Zielon,7229
228951150597089,Adam Bielan,Adam Bielan,7197
171382802698,Klub Jagielloński,Klub Jagielloński,7121
798249970192065,Edukacja dla Dobrego Klimatu,Pracownia na rzecz Wszystkich Istot,7063
395533923834784,PSL Mazowsze,Zarząd Wojewódzki Polskiego Stronnictwa Ludowego Województwa Mazowieckiego,7061
1181684038602267,Niepodległa,Niepodległa,7011
101751661613203,Adam Lutkowski,Adam Andrzej Lutkowski,6908
104884392877324,Alivia - Fundacja Onkologiczna,These ads ran without a disclaimer,6815
566578626784444,Jabeerwocky Warszawa,These ads ran without a disclaimer,6780
213761292155457,Samir Kayyali Doradztwo Podatkowe,Samir Kayyali Doradztwo Podatkowe,6717
157255317751718,Kancelaria Mentzen,Kancelaria Mentzen,6716
580557092422382,Dominika Chorosińska,Komitet Wyborczy Prawo i Sprawiedliwość,6658
250387950908,Tygodnik Solidarność,Tygodnik Solidarność,6656
238903929634988,Dariusz Rosati,CommSense,6630
111831783525440,Paweł Potoroczyn,KKW Koalicja Obywatelska PO .N iPL Zieloni,6595
447190942074880,Polskie Stowarzyszenie Obrońców Życia Człowieka,Polskie Stowarzyszenie Obrońców Życia Człowieka,6590
397133490487852,Dawid Bagiński,These ads ran without a disclaimer,6512
221077284662,Kwartalnik Przekrój,Fundacja Przekrój,6499
141833139301,Krzysztof Bosak,KW Kandydata na Prezydenta Rzeczypospolitej Polskiej Krzysztofa Bosaka,6456
404295586445224,Paweł Pudłowski,Selectivv,6441
1759040441044970,SmogLab,SmogLab,6389
48034275355,EPP - European People's Party,EPP - European People's Party,6337
434225653303734,Fundusze dla Mazowsza,Clickad Interactive,6331
218944008135842,Marek Opioła,Komitet Wyborczy Prawo i Sprawiedliwość,6325
100337224681194,Łukasz Szumowski,Komitet Wyborczy Prawo i Sprawiedliwość,6319
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro - Prawo do Życia,6256
108015612575658,Forbes.pl,Forbes.pl,6127
260807840628894,Agencja Rozwoju Przemysłu S.A.,Agencja Rozwoju Przemysłu S.A.,6041
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,6007
39589683944,U.S. Embassy Warsaw,U.S. Embassy Warsaw,5996
373330199849811,Murapol- Najlepsze miejsca na świecie,Murapol,5985
380485532115847,Ministerstwo Rodziny i Polityki Społecznej,Ministerstwo Rodziny i Polityki Społecznej,5976
250008548428800,PanPablo.pl,PanPablo.pl,5961
1494905190821954,Jakub Kulesza #NowePokolenie,KWW Konfederacja KORWiN Braun Liroy Narodowcy,5941
358414038219949,Michał Wawer,Konfederacja,5913
74863922834,Krytyka Polityczna,Krytyka Polityczna,5884
370319116027,Andrzej Halicki,. KKW Koalicja Europejska PO PSL SLD .N Zieloni,5844
2039652406129097,Lekko. PL,Lekko.,5814
353030510177,Centrum Nauki Kopernik,Centrum Nauki Kopernik,5640
49490583862,Cropp,These ads ran without a disclaimer,5592
221077284662,Kwartalnik Przekrój,Kwartalnik Przekrój,5587
112512953426033,Iskra Pamięci,These ads ran without a disclaimer,5567
425196744741236,Lepiej bez smogu,Isover,5542
118890385502947,"Sprawdź, kto oferuje Ci prąd i gaz",Clickad Interactive,5525
317789451746052,Olga Semeniuk,Komitet Wyborczy Prawo i Sprawiedliwość,5500
189020791133014,After Party,Fundacja Edukacji Społecznej,5363
231548847040940,"Piotr Uściński - Poseł na Sejm RP, PiS",Piotr Uściński,5360
430323810469014,Razem,"KKW Lewica Razem - Razem, Unia Pracy, RSS",5220
196722357090264,Polskie Stowarzyszenie Energetyki Wiatrowej - PSEW,Polskie Stowarzyszenie Energetyki Wiatrowej,5155
373903230004337,30. ROK WOLNOŚCI,These ads ran without a disclaimer,5126
1643686859194259,Sebastian Kaleta,"Sebastian Kaleta, Poseł na Sejm RP",5105
160241124057290,Poseł Daniel Milewski,KW Prawo i Sprawiedliwość,5094
1235256026493430,EPG - Fotowoltaika dla Ciebie,These ads ran without a disclaimer,5088
796896180371935,Wojciech Zabłocki,KW Prawo i Sprawiedliwość,5000
103584727686021,Joanna Wicha,KW Sojusz Lewicy Demokratycznej,4804
729627343834501,Kialo,These ads ran without a disclaimer,4769
336438736394843,Wydawnictwo AGORA,Wydawnictwo AGORA,4648
260477124378928,Julia Zimmermann,KW Sojusz Lewicy Demokratycznej,4632
113356018705476,Rzeczpospolita,Rzeczpospolita,4611
201589477009101,Miasto Jest Nasze,Miasto Jest Nasze,4580
161559037233285,China Town,These ads ran without a disclaimer,4562
118055394941878,ABB,OS3 sp. z o.o.,4503
406777400148454,Paweł Wojtunik,Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N ZIELONI,4495
333409683428621,Nowa Konfederacja,Nowa Konfederacja,4486
195966777204752,Piotr Radziszewski,Komitet Wyborczy Prawo i Sprawiedliwość,4412
