Page ID,Page Name,Disclaimer,Amount Spent (PLN)
141366725876424,European Greens,European Greens,3967
1077045142306060,Grzegorz Schetyna,Platforma Obywatelska RP,3959
118890385502947,"Sprawdź, kto oferuje Ci prąd i gaz",Clickad Interactive,3949
599376380167015,Michał Gramatyka - Poseł RP,KKW Koalicja Obywatelska PO .N IPL Zieloni,3897
173680966723970,Damian Żurawski - Twój Radny,Damian Żurawski - Twój Radny,3835
387124011444132,Wojciech Saługa Poseł na Sejm,KKW Koalicja Obywatelska PO .N iPL Zieloni,3774
130423597034303,Borys Budka,KKW Koalicja Obywatelska PO .N iPL Zieloni,3769
101492537951124,Janusz Moszyński,KWW Janusz Moszyński,3763
39589683944,U.S. Embassy Warsaw,U.S. Embassy Warsaw,3758
1782125158778273,WASTA - Odnawialne Źródła Energii,Piotr Tadeusz Wardęga,3711
397133490487852,Dawid Bagiński,These ads ran without a disclaimer,3705
383296170843,Puls Biznesu,Puls Biznesu,3696
109290147401664,Polska Organizacja Handlu i Dystrybucji,Polska Organizacja Handlu i Dystrybucji,3669
813080362108073,Maciej Konieczny,KW Sojusz Lewicy Demokratycznej,3598
127619873953536,Stefczyk.info,Stefczyk.info,3568
213761292155457,Samir Kayyali Doradztwo Podatkowe,Samir Kayyali Doradztwo Podatkowe,3560
118055394941878,ABB,OS3 sp. z o.o.,3560
317722036029,K MAG,K MAG,3528
350958838905984,Praca w Komisji Wyborczej,KW Prawica,3507
166946306698099,Tarnowskie Góry Urząd Miasta,Tarnowskie Góry Urząd Miasta,3473
103954304538310,Fundacja JSW,Fundacja JSW,3448
893685610645878,Tomasz Olichwer poseł na Sejm RP,KKW Koalicja Obywatelska PO .N iPL Zieloni,3433
373330199849811,Murapol- Najlepsze miejsca na świecie,Murapol,3415
363474570925082,Jolanta Milas KP,iWsparcie.pl,3406
341173806527797,EnCe - Angielski,These ads ran without a disclaimer,3345
1533829256835197,Bartłomiej Kowalski - Radny Sejmiku Województwa Śląskiego,Komitet Wyborczy Prawo i Sprawiedliwość,3339
147461036107583,House Solutions,House Solutions,3296
260807840628894,Agencja Rozwoju Przemysłu S.A.,Agencja Rozwoju Przemysłu S.A.,3255
215320715262774,Halina Bieda - Senator RP,KWW Koalicja Obywatelska PO .N iPL Zieloni,3250
499646073441042,Jacek Wilk,KWW Konfederacja Korwin Braun Liroy Narodowcy,3187
108015612575658,Forbes.pl,Forbes.pl,3132
874463729269966,Łukasz Litewka,KW Sojusz Lewicy Demokratycznej,3132
173816296461426,Waldemar Andzel Poseł na Sejm RP,KW Prawo i Sprawiedliwość,3129
188972590657,Moto.pl,These ads ran without a disclaimer,3112
342956762998558,KlimatAlert,Wojciech Makowski,3098
330644215221,Bankier.pl,Bankier.pl,3062
391098174296294,se.pl,se.pl,3044
322337741277715,Anita Ziegler- Chamielec,KW Sojusz Lewicy Demokratycznej,3033
102046567832126,Bronisław Korfanty,Komitet Wyborczy Prawo i Sprawiedliwość,3000
1579819912230855,Coca-Cola,Coca-Cola,2993
1479771345653398,Monika Rosa,KKW Koalicja Obywatelska PO .N IPL Zieloni,2991
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,2972
457690554629140,Narodowy Instytut Architektury i Urbanistyki,Narodowy Instytut Architektury i Urbanistyki,2963
103283881049480,Bartosz Karcz,KKW Koalicja Obywatelska PO .N iPL Zieloni,2953
283326988387227,Anna Nemś - Posłanka na Sejm RP,KWW Koalicja Obywatelska PO .N iPL Zieloni,2895
381003278691136,Szymon Hołownia,Fundacja Polska Od Nowa,2881
250008548428800,PanPablo.pl,PanPablo.pl,2839
426016007433562,Marta Salwierak - Radna Sejmiku Województwa Śląskiego,KKW Koalicja Obywatelska PO .N iPL Zieloni,2838
813355372354226,Śląska Opinia,Redakcja ŚląskaOpinia,2783
372341662829366,Onet Styl Życia,Onet Styl Życia,2779
1576591379231457,Paweł Kobyliński - Poseł na Sejm RP VIII kadencji,Paweł Kobyliński - Poseł na Sejm RP VIII kadencji,2767
193417587881296,Royal Fashion,These ads ran without a disclaimer,2763
221077284662,Kwartalnik Przekrój,Fundacja Przekrój,2758
1406676512964411,Echo24,Echo24,2740
453065345039393,Katowice Dziś,Katowice Dziś,2737
106552182752379,Fortum Polska,Fortum Polska,2736
336438736394843,Wydawnictwo AGORA,Wydawnictwo AGORA,2734
567066860335135,Błękitny Węgiel,Błękitny Węgiel,2713
104609701196973,Allex,Aleksander Jerzy Czerniewicz,2670
111036577086588,1971 zł Dla Opiekuna Dorosłej Osoby Niepełnosprawnej,Vestra,2669
301818100005888,Centrum Sportu Asy,These ads ran without a disclaimer,2667
1514291542233058,telewizja.krakow.pl,Kraków PL,2630
100384718193249,Bosak2020,KW Kandydata na Prezydenta RP Krzysztofa Bosaka,2591
1967695263556184,Sylwia Spurek,The Grens/EFA in the European Parliament,2575
338922053354566,Mirosław Krzysztof Nowak,KW Sojusz Lewicy Demokratycznej,2568
185265414715,Onet,Onet Wiadomości,2546
978825738971880,Łukasz Krawiec - Radny Dla Mieszkańców,Łukasz Mirosław Krawiec,2520
100412623352304,Decathlon Polska,Decathlon Polska,2495
148183311971804,Stanisław Żółtek,KW Kandydata na Prezydenta RP Stanisława Żółtka,2492
328170794051845,KUKIZ15,Komitet Wyborczy Wyborców Kukiz'15,2487
