Page ID,Page Name,Disclaimer,Amount Spent (PLN)
1457176817905225,Marcelina Zawisza,"KKW Lewica Razem – Razem, Unia Pracy, RSS",2269
798940726870349,Hubert Czerniak - Włączamy myślenie,Komitet Wyborczy Wyborców Konfederacja Korwin Braun Liroy Narodowcy,2269
317722036029,K MAG,K MAG,2259
169913419732194,Michał Jaros,These ads ran without a disclaimer,2249
100276381956414,ESPC,These ads ran without a disclaimer,2215
112909656719561,Grzegorz Grzegorzewicz,RED BARON Brand Support,2143
105903604297561,Czyste zasady,Agencję TARRAYA S.A. dla Samorządu Województwa Dolnośląskiego,2140
100789317967106,Jarosław Dudkowiak - Twój Poseł,KKW Koalicja Obywatelska PO .N IPL Zieloni,2135
213761292155457,Samir Kayyali Doradztwo Podatkowe,Samir Kayyali Doradztwo Podatkowe,2123
107193403993476,Marek Harasny,Komitet Wyborczy Prawo i Sprawiedliwość,2107
140708165940689,EKO-UNIA,Stowarzyszenie Ekologiczne EKO-UNIA,2068
145203809517773,Julia Rokicka,KKW Koalicja Europejska PO PSL SLD .N Zieloni,2063
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,2057
108015612575658,Forbes.pl,Forbes.pl,2053
623012611435208,Marcin Gwóźdź,KW Prawo i Sprawiedliwość,2049
1967695263556184,Sylwia Spurek,The Grens/EFA in the European Parliament,2048
32104614789,Greenpeace Polska,These ads ran without a disclaimer,2027
378891755591358,Cezary Przybylski - Marszałek Województwa Dolnośląskiego,These ads ran without a disclaimer,2012
330644215221,Bankier.pl,Bankier.pl,2008
372341662829366,Onet Styl Życia,Onet Styl Życia,2005
193417587881296,Royal Fashion,These ads ran without a disclaimer,2003
221077284662,Kwartalnik Przekrój,Kwartalnik Przekrój,2000
1406676512964411,Echo24,Echo24,1999
517037508369297,zrzutka.pl,zrzutka.pl,1947
391098174296294,se.pl,se.pl,1942
188972590657,Moto.pl,These ads ran without a disclaimer,1938
107969160908903,UczciwaWycena.pl,Uczciwa Wycena,1919
1579819912230855,Coca-Cola,Coca-Cola,1909
381003278691136,Szymon Hołownia,Fundacja Polska Od Nowa,1907
1715700672019998,LoveAir.pl,These ads ran without a disclaimer,1884
336438736394843,Wydawnictwo AGORA,Wydawnictwo AGORA,1869
100412623352304,Decathlon Polska,Decathlon Polska,1864
2116517368418465,Wojciech Dobrołowicz,KWW WOJCIECHA DOBROŁOWICZA,1858
934442959950906,Krajowa Izba Radców Prawnych,Krajowa Izba Radców Prawnych,1858
427996317730040,"Tymoteusz Myrda, Członek Zarządu Województwa Dolnośląskiego",These ads ran without a disclaimer,1844
403820169762537,Renergy - odnawialna energia słoneczna,These ads ran without a disclaimer,1844
122996434393378,Koalicja Obywatelska Dolny Śląsk,KKW Koalicja Obywatelska PO .N iPL Zieloni,1821
