Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
101675885089320,Coöperatie Laatste Wil,These ads ran without a disclaimer,4495,16
1862580210628899,Mustafa Amhaouch,CDA,4494,9
100310298568268,Frederik Jansen,Forum voor Democratie -FVD,4469,2
106491429483582,SDOK,SDOK,4419,321
106085081224870,Sigrid Kaag,D66,4400,24
347623668624706,50PLUSpartij,VLG,4398,47
1598361623791979,Harry van der Molen,CDA,4373,11
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,4289,41
153357044722038,Jonge Democraten,Jonge Democraten,4264,30
932348266813860,Workplace from Facebook,These ads ran without a disclaimer,4255,7
1042134022562719,de Volksbank,These ads ran without a disclaimer,4234,13
152313778157632,De Amsterdamse VVD,de Amsterdamse VVD,4189,39
200346284174326,Extinction Rebellion NL,Extinction Rebellion NL,4150,165
244496714142,Humanistisch Verbond,cStrong,4145,113
244643952222452,Oranje Fonds,Oranje Fonds,4114,40
141870556078,KWF Kankerbestrijding / Dutch Cancer Society,KWF Kankerbestrijding / Dutch Cancer Society,4079,105
307318089299878,Daniel den Hoed Fonds,Daniel den Hoed Fonds,4078,14
181375052003138,Blendle,Blendle,4070,204
298674423522362,SodaStream Nederland,These ads ran without a disclaimer,4055,36
143330162379668,Oxxio,These ads ran without a disclaimer,4029,1
137299353547880,Missie Energie,KVGN,4028,42
324639927731493,Duurzaam020,Gemeente Amsterdam,4012,41
101147471988851,Jasper Kuntzelaers,PvdA Limburg,3988,38
101210883259818,MIVA,MIVA,3955,14
254918764596191,Lodewijk Asscher,Partij van de Arbeid (PvdA),3920,26
105341021533696,Jan Cees Vogelaar,LMV Media Group,3911,24
435711596958375,Prove Them Wrong,Prove Them Wrong,3905,35
640413262653563,Fossielvrij NL,Fossielvrij NL,3884,70
126052760507,Mama Cash,These ads ran without a disclaimer,3861,46
106518961415011,Henri Bontenbal,Henri Bontenbal,3800,20
244496714142,Humanistisch Verbond,Humanistisch Verbond,3776,72
474504335917213,Hart voor Den Haag,Juliette Oden,3776,46
582747471885273,Gemeente Barendrecht,Gemeente Barendrecht,3722,30
113570267054952,MBRC the ocean,These ads ran without a disclaimer,3716,24
102480058268450,Power to the Paling,Good Fish Foundation,3649,11
197418300270414,Enexis Netbeheer,Enexis Netbeheer,3646,7
245611510944,foodwatch Nederland,foodwatch Nederland,3636,10
1329572193784367,Stem op een Vrouw,Stem op een Vrouw,3621,17
171189343836,Open Universiteit,Open Universiteit,3600,3
171605059556434,World Animal Protection Nederland,These ads ran without a disclaimer,3578,176
158944324185744,Defence for Children,Defence for Children,3572,22
102702261651304,Harmen Krul,CDA Noord-Holland,3557,16
1443518785699143,Elke Stem Telt,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,3460,5
203197030603239,8 Billion Trees,These ads ran without a disclaimer,3449,29
319495812163,Deloitte,Deloitte Nederland,3382,66
244496714142,Humanistisch Verbond,These ads ran without a disclaimer,3353,17
1791229601140644,René Peters,CDA,3353,3
347623668624706,50PLUSpartij,These ads ran without a disclaimer,3345,10
164165566951558,Brabants Dagblad,These ads ran without a disclaimer,3312,10
1390745591150821,NRC - Norwegian Refugee Council,These ads ran without a disclaimer,3308,115
116592248404562,Rode Hoed,Rode Hoed,3302,106
1010657719133321,Daan Versteeg,Versteeg Daniel R,3296,97
173172242782614,Pathé Thuis,These ads ran without a disclaimer,3286,1
93833638834,Plan International Nederland,These ads ran without a disclaimer,3238,7
2148775808772284,Mijn Liefste Boek,These ads ran without a disclaimer,3188,4
237429380031891,Chris van Dam,CDA,3146,3
102389457864860,Treehuggers Bracelets,These ads ran without a disclaimer,3132,10
729627343834501,Kialo,These ads ran without a disclaimer,3128,325
261743583890104,Mensen met een Missie,Mensen met een Missie,3119,56
1540653406196038,Vrienden van het Roomburgerpark,Stichting Vrienden van het Roomburgerpark,3057,10
536550520172715,IBi Kidzz,iBi Free Life,3052,12
132327223458422,Vakbond De Unie,Vakbond De Unie,2931,12
153072008228906,Kieskompas - Election Compass,Kieskompas B.V.,2914,18
320374518118,CDA,These ads ran without a disclaimer,2885,3
105010314974250,Plan Je Stem,Stichting Are We Europe Foundation,2878,4
374461422625101,PvdA Haarlem,Partij van de Arbeid,2874,59
1830425247191865,Cordaid,These ads ran without a disclaimer,2867,16
170725579702314,ActionAid Nederland,These ads ran without a disclaimer,2847,47
479880415421150,House Of Hair & Beauty,These ads ran without a disclaimer,2818,6
444504516075907,Shell,Shell,2780,8
474504335917213,Hart voor Den Haag,Hart voor Den Haag,2765,68
1793377344241580,Uit ervaring,BKB | Het Campagnebureau,2755,58
158927938132228,Vergroenjegas.nl,Vergroen Je Gas,2748,223
790841021006963,Mona Keijzer,CDA,2736,28
133327066763648,IKEA Foundation,IKEA Foundation,2724,48
403772503084759,Rijksdienst voor Ondernemend Nederland - RVO,These ads ran without a disclaimer,2713,12
105422274685438,Jelle Beemsterboer,CDA,2700,31
194968000513826,Volkswagen,These ads ran without a disclaimer,2698,1
138208102983774,Agnes Mulder,CDA,2687,3
160001040736183,Fairtrade Nederland,These ads ran without a disclaimer,2649,24
276618792526445,IND - Immigratie- en Naturalisatiedienst,Immigratie- en Naturalisatiedienst,2624,32
154976831217735,Rutgers,Rutgers,2617,4
116701976643644,Kwestie van Beschaving,kwestie van beschaving,2615,19
245579158353,Giro555,These ads ran without a disclaimer,2588,3
146354402043167,Nederlandse Stichting voor het Gehandicapte Kind,Nederlandse Stichting voor het Gehandicapte Kind,2564,57
897777190282084,Periscoop Film,Film Incompany,2543,35
759417477428801,PvdA Zeeland,Partij van de Arbeid,2537,12
350864778279995,Democrats Abroad Netherlands,Democrats Abroad,2519,22
189701254384965,Eneco,Eneco,2511,38
402039413225497,ChristenUnie Zwolle,ChristenUnie Zwolle,2496,24
208032132579030,PvdA Groningen,PvdA-fractie Groningen,2487,128
195643057135775,Partij voor de Dieren Zuid-Holland,Partij voor de Dieren Zuid Holland,2485,39
114570545240850,Who Gives A Crap,These ads ran without a disclaimer,2480,61
182669101758303,Man tot Man,Soa Aids,2478,17
211966142554381,Jaco Geurts,CDA,2475,2
120087784724637,Winq.nl,Winq.nl,2469,37
48034275355,EPP - European People's Party,EPP - European People's Party,2435,56
100333231877840,mijnwoningisoleren.nl,Mijnwoningisoleren.nl,2432,6
108713407145673,Credcovers.nl,These ads ran without a disclaimer,2431,105
165488696805185,Vereniging Basisinkomen,Alexander De Roo,2408,17
361691628003200,Warming Up,Stichting Impact Makers,2400,40
109693360610799,Techradical,These ads ran without a disclaimer,2387,1
100107315104570,Slimbespaard,Slimbespaard,2371,104
1695889637360770,Hempire,These ads ran without a disclaimer,2366,22
100651887961246,PAPER & BOO,These ads ran without a disclaimer,2358,6
571333213225618,Mr. Hans van Mierlo Stichting,D66,2335,18
100165472117620,De Prijs van Privatisering,IF Productions,2306,19
2326697260991619,Kim van Sparrentak,GroenLinks,2280,8
2204718789848881,Erwin Taams,Erwin Taams,2279,94
102490431841331,Ulysse Ellian,Ulysse Ellian,2251,24
102480058268450,Power to the Paling,These ads ran without a disclaimer,2243,22
1798288643820037,MailBlue,These ads ran without a disclaimer,2229,26
113624260429636,Fundashon Akshon Awor,Akshon Awor,2228,27
290713107718934,Lokaal-Hengelo,Michael Van Wier,2219,58
550151728397109,CDA Drenthe,CDA Drenthe,2214,32
1483437108535863,International Campaign for Tibet Europe,International Campaign for Tibet Europe,2205,26
443053919567317,Minister van Gehandicaptenzaken,Minister van Gehandicaptenzaken (KRO-NCRV),2200,14
141801972540083,EW Magazine,Elsevier Weekblad,2185,75
627201893971363,Pvda Den Bosch,PvdA Den Bosch,2170,60
103633278009534,World_Watchers,WorldWatchers,2167,77
658004790928128,KBO-Brabant,KBO-Brabant,2160,6
152679788085179,De Haagse Hogeschool,These ads ran without a disclaimer,2138,3
270788920480,Europees Parlement Nederland,These ads ran without a disclaimer,2134,2
212677235422031,Marijn Poels Films,Marijn Hendrik Jan Poels,2132,1
187487384609320,Bever,Bever,2123,7
1408087399224304,Gemeente Waddinxveen,Gemeente Waddinxveen,2118,12
489475511122165,Lenovo Benelux,These ads ran without a disclaimer,2109,1
101124991879374,Splinter,Frank Van Kooten,2104,9
1592363677661787,Tom Rotmans,Tom Rotmans,2095,25
1376730995880746,Talkshow M Kro-Ncrv,Talkshow M Kro-Ncrv,2091,45
1530277467215488,VVD Drenthe,VVD,2073,32
453917001485052,Young Impact,Young Impact,2070,40
2301184920146129,Tom Berendsen,These ads ran without a disclaimer,2043,3
106065484513801,MergeFriends,These ads ran without a disclaimer,2043,8
119283008140727,Pela Case,These ads ran without a disclaimer,2029,65
350805055554039,Eveline Herben,Herben Eveline Marie,2026,38
1495313417366650,Good life van Eus,Eugène van Essen,2024,206
197924343576098,Climategate.nl,Berrie Pelser,2015,32
206932742776182,CDA Overijssel,CDA Overijssel,2004,20
157718897615734,Fiom,These ads ran without a disclaimer,1979,1
1782167815434084,Kancelaria Adwokacka Arslan & Arslan Advocaten,These ads ran without a disclaimer,1968,12
284142971975045,Gemeente Ridderkerk,Gemeente Ridderkerk,1955,26
509675125832784,Pieter Paul Slikker - PvdA 073,PvdA Den Bosch,1943,72
175658419295023,CDA Den Haag,CDA,1927,62
379837259062033,Thierry Baudet,These ads ran without a disclaimer,1918,6
291307577603857,Terdege,These ads ran without a disclaimer,1916,24
121264564551002,VVD,These ads ran without a disclaimer,1910,86
315199265529655,Krant.nl,These ads ran without a disclaimer,1879,7
256330771194175,Iedereen mediawijs,Netwerk Mediawijsheid,1879,7
146644665960101,Volt Nederland,These ads ran without a disclaimer,1870,36
160464877301633,Waddenvereniging,Waddenvereniging,1852,107
335180007392887,BoboNews,These ads ran without a disclaimer,1851,2
158474694497828,Wiezewasjes,These ads ran without a disclaimer,1815,2
599862780044372,Haagsch College,Haagsch College,1800,38
1329572193784367,Stem op een Vrouw,These ads ran without a disclaimer,1795,7
102925808393819,Nr. 35 Piet-Cees van der Wel CDA,Pieter Cornelis Van Der Wel,1781,30
1433176626803140,JeAchterban.nl,These ads ran without a disclaimer,1777,4
558146577702290,Klooker NL,Klooker NL,1769,40
293838494833918,Reuswable,These ads ran without a disclaimer,1766,25
189701254384965,Eneco,These ads ran without a disclaimer,1761,2
100530645135809,Sponsorpaal,Gilbert Van Straalen,1754,8
103502151001685,Moka Joe Mag,These ads ran without a disclaimer,1749,4
1734459723547461,Malik Azmani,Malik Azmani,1746,95
509195185792644,Lilianne Ploumen,Partij van de Arbeid (PvdA),1745,51
203753056314055,Varkens in Nood,These ads ran without a disclaimer,1728,3
436101979807727,Pointer (KRO-NCRV),Pointer KRO-NCRV,1724,132
100669348539685,Omroep EVNS,These ads ran without a disclaimer,1724,11
441411939652956,Motiv Academy,These ads ran without a disclaimer,1720,2
715530345257562,Paz Holandesa,Stichting PAZ Holandesa,1714,57
2409629832382391,YESC Young Energy Society Challenge,YESC,1713,60
118754531489898,Artsen zonder Grenzen,These ads ran without a disclaimer,1707,27
25480500554,BRAC,BRAC,1700,41
560182477659896,Stan Peters PvdA #31,Partij van de Arbeid (PvdA),1700,51
272033265993,D66 Utrecht,D66,1695,9
237177026378295,Justdiggit,Justdiggit,1685,79
223726444378110,Free to be me,Hivos,1677,23
315204895639165,Ons Diemen,Wim Advokaat,1673,32
486293704724646,KRNWTR,KRNWTR,1672,11
176726829037732,Diabetes Fonds,Diabetes Fonds,1669,39
288295911466,Greenpeace Nederland,These ads ran without a disclaimer,1663,72
189185831126295,Nieuwsuur,NTR,1652,6
1305231549627217,Ofekraa,These ads ran without a disclaimer,1644,2
513560445780338,Aromatherapyshop.nl,These ads ran without a disclaimer,1634,7
134631419999526,Philips,These ads ran without a disclaimer,1630,4
1523833891223465,CDA Zuid-Holland,CDA Zuid-Holland,1616,52
206205079489175,Esther de Lange,Esther de Lange,1613,10
641861372896911,The Bamboovement,The Bamboovement,1593,29
147547541961576,Council of the European Union,Council of the European Union,1592,238
104937217699870,Greennl,These ads ran without a disclaimer,1577,2
109363254199592,Op reis naar 2050,Schoner Noord Holland,1570,29
118995661450889,De Bezige Bij,These ads ran without a disclaimer,1568,7
