"","x"
"255","100919408134711"
"256","100928285185483"
"257","100935195071233"
"258","100955714870730"
"259","100958814775450"
"260","100961478567473"
"261","1009663642455503"
"262","1009720545721155"
"263","100973207964721"
"264","100979571317801"
"265","100982391340470"
"266","100982815041736"
"267","1009883082372196"
"268","100988611709531"
"269","100989127974660"
"270","100991613317228"
"271","100996084700685"
"272","100999648325354"
"273","101001596624477"
"274","101001919989818"
"275","101001938128959"
"276","1010050165739760"
"277","101009714863824"
"278","101015438329217"
"279","101018658125890"
"280","101024858323901"
"281","101039903379008"
"282","101045822056418"
"283","101050755332512"
"284","101057449983892"
"285","101061608482671"
"286","101063728099384"
"287","1010649029140283"
"288","101065286702367"
"289","101065731421"
"290","101068071305292"
"291","101071795163728"
"292","101076228545776"
"293","101081664633273"
"294","101085074605848"
"295","101085841838238"
"296","101087220042517"
"297","101095462051264"
"298","101100461853669"
"299","101107487900150"
"300","101112124757774"
"301","101112621437274"
"302","101118384671819"
"303","101118985213171"
"304","101120465083451"
"305","101123018020838"
"306","1011250875620934"
"307","101126754702805"
"308","101138554614427"
"309","101141368473321"
"310","101147471988851"
"311","1011476312239991"
"312","101151354736897"
"313","101151975050484"
"314","1011556768950016"
"315","101158045160635"
"316","101159881939305"
"317","101160819981648"
"318","101162688261173"
"319","101168904941318"
"320","101171935036720"
"321","101173628089335"
"322","101178894591029"
"323","101199985130760"
"324","101214551645695"
"325","101214664796329"
"326","101219874701668"
"327","101222818513311"
"328","101226491623010"
"329","101227334941244"
"330","101227908159921"
"331","101229624727848"
"332","101231981264335"
"333","101233561273597"
"334","101234161684006"
"335","101235989968311"
"336","101240237922429"
"337","101249225026826"
"338","101254968169604"
"339","101261121528000"
"340","101261364567916"
"341","101267261703103"
"342","101277798543606"
"343","101284838242055"
"344","101286418697449"
"345","101286428483346"
"346","101298527893904"
"347","101305221366772"
"348","101305341933604"
"349","101307351565239"
"350","101308504696121"
"351","101326562032943"
"352","101331811970087"
"353","101336714616246"
"354","101345907939033"
"355","1013462758763655"
"356","101346405018793"
"357","101348544563210"
"358","101348801334775"
"359","101350014968086"
"360","101351397902832"
"361","101355341352556"
"362","101357994594308"
"363","101362278106987"
"364","101375581378152"
"365","101376491395473"
"366","101383021668558"
"367","101385821351677"
"368","101392435200440"
"369","101394361223497"
"370","101399991321605"
"371","101405207871931"
"372","1014081658650946"
"373","101413508034119"
"374","101414748389663"
"375","101415754749459"
"376","1014215128693491"
"377","101422224770596"
"378","101423941599689"
"379","101427408485874"
"380","101440088103129"
"381","101442514659491"
"382","101447691250941"
"383","101458758044002"
"384","101464108246275"
"385","101468861327287"
"386","101474088288636"
"387","101475548021625"
"388","101479381844910"
"389","1014856435381833"
"390","10150096208640644"
"391","10150102478780160"
"392","10150108261515534"
"393","10150139228955451"
"394","10150145829810364"
"395","10150146529760054"
"396","10150158634595002"
"397","101502827892099"
"398","101515551262560"
"399","101518538081762"
"400","101519938655348"
"401","101520894877669"
"402","101537134887558"
"403","101538194735413"
"404","101538471439575"
"405","101547624640909"
"406","101547634660092"
"407","101556331740744"
"408","101557913273369"
"409","101564648283076"
"410","1015856151760815"
"411","101595247967124"
"412","101595334575322"
"413","1015975858428193"
"414","101599561782751"
"415","101604308011833"
"416","101609991764767"
"417","101612095230541"
"418","1016121795109248"
"419","101617261764187"
"420","101620631633653"
"421","101620711922613"
"422","101621651613075"
"423","1016290075231811"
"424","101634056582236"
"425","101636904686257"
"426","101640291287044"
"427","101646155027362"
"428","101647001691300"
"429","101650751797905"
"430","101651374883594"
"431","101653435035099"
"432","1016608181686746"
"433","101663237847545"
"434","101664681615644"
"435","101669051367391"
"436","101672764800911"
"437","1016780531742184"
"438","101680421639287"
"439","101682598121789"
"440","1016828251779691"
"441","101686284588975"
"442","101688101301295"
"443","101691214879637"
"444","101699031211369"
"445","101707354637981"
"446","101714035280093"
"447","101736944566706"
"448","101741794946479"
"449","101746514943257"
"450","101751001636301"
"451","101751695104919"
"452","101755125064696"
"453","101755171386064"
"454","101757317955048"
"455","101758471670989"
"456","101764496668806"
"457","101764691216263"
"458","1017666944935541"
"459","101772181199261"
"460","101772998304417"
"461","101775851675998"
"462","1017885421625799"
"463","1017959601582615"
"464","1018066311697929"
"465","101809426569937"
"466","101827249855421"
"467","101827357994003"
"468","101832661285976"
"469","101836344507475"
"470","1018372134890364"
"471","101838004616962"
"472","1018398395036765"
"473","101843267845533"
"474","101847367956412"
"475","101848988317118"
"476","101852068314138"
"477","101858651537997"
"478","101861521923916"
"479","101862641420449"
"480","101865444505274"
"481","101867594984890"
"482","101869214971959"
"483","101869841206312"
"484","101871068243322"
"485","1018805581657311"
"486","101881754571474"
"487","101884291199439"
"488","101894271393926"
"489","101897961290159"
"490","101898938301574"
"491","101901927984119"
"492","101904875212486"
"493","101908641468173"
"494","101911698030098"
"495","101920364522288"
"496","101923381606215"
"497","101924321571370"
"498","101930627962826"
"499","101936418580629"
"500","101939277825760"
"501","101944088204294"
"502","101945947907281"
"503","101946358326226"
"504","1019512491405182"
"505","101951654910175"
"506","101954554932422"
"507","101955378121918"
"508","101960611263324"
"509","1019708791407748"
"510","101972581346133"
"511","101974817855403"
"512","101981831801311"
"513","101981944526604"
"514","101987958000534"
