Page ID,Page Name,Disclaimer,Amount Spent (DKK)
313024569028540,Mino Danmark,Mino Danmark,21634
108099197264611,VoksenVaccination,MSD Danmark,21487
253132104886911,Kvisten,Kvisten,21415
17428770950,Ræson,Clement Kjersgaard,21317
69985338410,Jacob Mark,SF,20781
728307113871618,Klaus Riskær Pedersen,Parti Borgerlisten,20696
376442055780548,"Søren Søndergaard, formand for Landbrug & Fødevarer",Landbrug & Fødevarer,20313
779582492178326,René Nord Hansen - politik,Det Konservative Folkeparti,19996
12212835049,Syddansk Universitet – University of Southern Denmark,Syddansk Universitet,19863
100452371679699,Øropa - Dit indblik i EU,Enhedslisten,19815
401991943254934,"Theresa Blegvad, Aarhus Byråd","Venstre, Danmarks Liberale Parti",19497
56810821434,HK Privat,HK Privat,19344
1902044243366919,Stop HPV - bliv vaccineret,Kræftens Bekæmpelse,19318
748887235210811,Obton A/S,Obton A/S,19223
1879573608775721,Simon Skals,SKALS SIMON SKÆRBÆK,19071
311398977614,Ben & Jerry's,Ben & Jerry's,19049
334318366655425,Facebook,Facebook,18742
1662803373975162,Rasmus Norup,Det Konservative Folkeparti,18700
107321204072537,DoLand,DoLand,18132
22030968736,Anima,Anima,17957
104695404710124,Frie Grønne - Danmarks Nye Venstrefløjsparti,"Frie Grønne, Danmarks Nye Venstrefløjsparti",17691
221746618023209,Arbejdernes Landsbank,Arbejdernes Landsbank,17510
38203759052,GOSH COPENHAGEN,E. Tjellesen,17430
657491824390744,Spring Copenhagen,Claus Nielsen,17282
2190488887846226,Petar Socevic,Socevic Petar,17104
1405355586351630,Carlsbergfondet,Carlsbergfondet,16937
1791759817712146,Katrine Robsøe,Robsøe Katrine Kjaer,16926
127374293943963,HK HANDEL,HK HANDEL,16923
149239523456,Dansk Fjernvarme,Dansk Fjernvarme,16920
867877683280051,Weekendavisen,These ads ran without a disclaimer,16767
175437749163141,"Kristian Andersen, KD",These ads ran without a disclaimer,16637
470510540054045,Teknologipagten,Primetime Kommunikation,16357
735535959817481,Rotary Distrikt 1440,Rotary Distrikt 1440,16198
2047554945456852,Climaider,RenSti,16168
167412043730,Venstres Ungdom - VU,Venstres Ungdom - VU,16034
310638582806533,Anders Krojgaard Lund,Det Konservative Folkeparti,15954
103142524915265,Steen Stavnsbo,Steen Stavnsbo,15712
1956719637909855,Kristian Pihl Lorentzen,Lorentzen Kristian Pihl,15606
1394304720620628,Anders G. Christensen,Christensen Anders Georg,15466
2026943437576033,plusimpact.io,plusimpact,15403
862049590591113,Lærerstandens Brandforsikring,Lærerstandens Brandforsikring,15380
315126268991751,Camilla Fabricius,These ads ran without a disclaimer,15200
100161418032681,EcoTree International,EcoTree International,15152
799753056713196,Lars Sandahl Sørensen,Dansk Industri - DI,15073
137685999659722,Jeppe Kofod,Socialdemokratiet,14935
2284894828455506,OKFakta,CO-industri,14861
102233134700942,"Store Bøffer, Små Hjerter",Thorkild Holmboe-Hay,14756
1157928984332403,Victoria Drummond Kilpatrick,Victoria Drummond Kilpatrick,14747
138978072648,Dansk Vegetarisk Forening - DVF,Dansk Vegetarisk Forening - DVF,14670
334571029981175,DM og MA studerende,Dansk Magisterforening,14648
1427831394175028,Mælken.dk,Mælken.dk,14419
65873757126,Spies Rejser,Spies Rejser,14321
186625905603087,Margrethe Agerup - Politiker,Rosborg Sara Bagger Hougaard,14240
703754816720050,Grundfos DK A/S,Grundfos,14065
1952826148148615,Pengetanker by Danske Bank,Pengetanker by Danske Bank,14027
1912736882278358,Heidi Bank,Heidi Farsoe Bank,13782
146956228206,Red Barnet Ungdom,These ads ran without a disclaimer,13670
779533958878609,SparEnergi.dk,SparEnergi.dk,13561
265531163485983,Danske Spil Casino,These ads ran without a disclaimer,13491
46265612799,FDM,FDM,13452
112613428815157,CEPOS,CEPOS,13391
1933946066835612,Udenrigsministeriet,Udenrigsministeriet,13226
319060951624796,BetterHome,Niels Kåre Bruun,13151
1323811891079601,Lev Uden Vold,Lev Uden Vold,13091
152307371499138,Änglamark,Coop,12827
700095613395112,AarhusGuiden,AarhusGuiden,12817
119769598101853,Konservativ Ungdom,Konservativ Ungdom,12815
148262698530816,Audi Danmark,Audi Danmark,12687
166984636671085,Dansk Metal,Dansk Metal,12671
101354341782002,Red Omø Syd Havvindmøllepark,European Energy A/S,12451
63503662682,Jyllands-Posten,Jyllands-Posten,12423
189743007654,Gyldendal,Gyldendal,12401
1343543785659663,Dyrevelfærd i mejeribruget,Dyrevelfærd i mejeribruget,12262
175437749163141,"Kristian Andersen, KD",Kristendemokraterne,12161
63503662682,Jyllands-Posten,These ads ran without a disclaimer,12160
1079316312260192,KRP For fremtiden,Birkelund Mogens,12116
58140803787,Lars Løkke Rasmussen,"Venstre, Danmarks Liberale Parti",11973
