Page ID,Page Name,Disclaimer,Amount Spent (DKK)
323782467803321,Carl Valentin,Carl Valentin,21602
22030968736,Anima,Anima,21346
1477361382543402,Merete Scheelsbeck,Scheelsbeck Merete Elizabeth,21196
141469835910081,COWI,COWI,21135
1933946066835612,Udenrigsministeriet,Udenrigsministeriet,20999
162843287205735,Rasmus Jarlov,Det Konservative Folkeparti,20970
133615160025285,Rådet for Grøn Omstilling,Rådet for Grøn Omstilling,20876
935600569947728,Verner i Folketinget,Verner Sand Kirk,20505
36730930417,Margrete Auken,SF,20439
121660121250866,Spar Nord Fonden,Spar Nord Fonden,20336
456543851540778,Nordic Solar,Marta Karadottir,20132
128483917218766,Verisure Danmark,These ads ran without a disclaimer,20016
99632942471,Læger uden Grænser (MSF),These ads ran without a disclaimer,19973
329236874385098,Marianne Vind,Marianne Vind,19968
691707047549076,Peter Skaarup,Dansk Folkeparti,19691
252520351444054,Morten Østergaard,Radikale Venstre,19508
221368818036876,Helle  Bonnesen,Det Konservative Folkeparti,19230
101354341782002,Red Omø Syd Havvindmøllepark,European Energy A/S,19076
1109822592433969,Waturu Holding A/S,Waturu Holding A/S,18994
257752968245827,Anna Libak i Folketinget,Venstre i Hillerød Kredsen,18830
305932686202047,Caritas Danmark,Caritas Danmark,18817
223099558291164,Kasper Sand Kjær,Kjær Kasper Sand,18794
116227401722605,Dansk Flygtningehjælp,These ads ran without a disclaimer,18754
470510540054045,Teknologipagten,Primetime Kommunikation,18655
495574610498853,Teach First Danmark,Teach First Danmark,18607
319060951624796,BetterHome,Niels Kåre Bruun,18564
1323811891079601,Lev Uden Vold,Lev Uden Vold,18366
1333714923324143,Caspar Stefani,Det Konservative Folkeparti,18260
149239523456,Dansk Fjernvarme,Dansk Fjernvarme,18215
334571029981175,DM og MA studerende,Dansk Magisterforening,18208
804766666245937,Novo Nordisk Fonden,Novo Nordisk Fonden,18145
167412043730,Venstres Ungdom - VU,Venstres Ungdom - VU,18108
406921453049822,Theresa Scavenius,Theresa Scavenius,18047
924692171033381,"UNHCR, FN’s Flygtningeorganisation",UNHCR Danmark,18015
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,18013
133707013355759,Danner,These ads ran without a disclaimer,18005
1645812852307131,Alternativet - Storkreds København,Alternativet,17978
189743007654,Gyldendal,Gyldendal,17535
220338351316373,Frederiksberg Kommune,Frederiksberg Kommune,17218
369282413923161,Marie Høgh  - konservativ folketingskandidat i Københavns storkreds,Det Konservative Folkeparti,17170
1405355586351630,Carlsbergfondet,Carlsbergfondet,17159
141378109375840,Bergur Larsson Løkke Rasmussen,Bergur Løkke Rasmussen,17085
206884319742541,VIN 121,Janus Brink,17050
1666889143631205,Drugstars,Claus Møldrup,16820
152307371499138,Änglamark,Coop,16779
67220797992,Operation Dagsværk,Operation Dagsværk,16754
1002755833225691,Linea Søgaard-Lidell,Søgaard-Lidell Linea,16665
65873757126,Spies Rejser,Spies Rejser,16424
119769598101853,Konservativ Ungdom,Konservativ Ungdom,16196
1952826148148615,Pengetanker by Danske Bank,Pengetanker by Danske Bank,16166
1554525611484429,Mads Fuglede,Mads Fuglede,16119
148262698530816,Audi Danmark,Audi Danmark,16097
1653030171620285,Wefood,Folkekirkens Nødhjælp,16057
181106225260438,Yildiz Akdogan,Yildiz Akdogan,16044
149221835677222,SMVdanmark,SMVdanmark,16032
309352049198824,Kristian Hegaard,Hegaard Kristian Wurtz,16005
405892706501089,Med Israel for fred - MIFF Danmark,Rika Greenberg,15968
122569581108638,Stem Henrik Sørensen i Folketinget,Henrik Michael Borsholm Sørensen,15803
223690937691260,Falck Danmark,These ads ran without a disclaimer,15754
190576781304993,Realdania,These ads ran without a disclaimer,15732
728307113871618,Klaus Riskær Pedersen,Parti Klaus Riskaer Pedersen,15636
172015929586612,Modstrøm - Spar på elregningen og skån miljøet,These ads ran without a disclaimer,15618
12458150929,Radikale Venstre,Radikale Venstre,15489
30196574028,Serdal Benli,Benli Serdal,15472
126084211821,Danmarks Socialdemokratiske Ungdom (DSU),DSU,15434
2280214998907499,Live like tomorrow,Sascha Dupont,15430
1604502423155684,Martin Henriksen,Dansk Folkeparti,15413
144328019308205,LivePro,LivePro,15277
399210657232918,PlanBørnefonden,These ads ran without a disclaimer,15165
646735655435113,Bevar en stærk TrygFond,Tobias Bornakke Jørgensen,15126
211175848943032,KFUKs Sociale Arbejde,KFUKs Sociale Arbejde,15060
127374293943963,HK HANDEL,HK HANDEL,15041
265531163485983,Danske Spil Casino,These ads ran without a disclaimer,14860
137685999659722,Jeppe Kofod,Socialdemokratiet,14762
309352049198824,Kristian Hegaard,These ads ran without a disclaimer,14682
105372988191266,Michael Fenger,Den Konservative vælgerforening i Gentofte,14586
199842336700506,Charity Baren / Villa Social,Charity Baren / Villa Social,14557
442403485851495,Morten Helveg Petersen,Morten Helveg Petersen,14549
1476612932380077,Joachim Hjorting,Det Konservative Folkeparti,14443
301647537160818,En grønnere planet,Greenpeace Danmark,14347
967044466807709,Malthe Johan Poulsen,Poulsen Malthe Johan,14333
262391220488874,SF Amager KBH,Rasmus Steenberger,14322
164564233593453,SF Hvidovre,SF Hvidovre,14217
36664432940,Amnesty International Danmark,These ads ran without a disclaimer,14080
77745897680,FEMINA,Aller Media,14075
102000981581794,Compleo Health,Compleo Health,13977
183887801641951,Verdens Skove,These ads ran without a disclaimer,13685
112869312172767,Konservative Studerende på Københavns Universitet,Konservative Studerende på Københavns Universitet,13541
2284894828455506,OKFakta,CO-industri,13390
141366725876424,European Greens,European Greens,13387
1497190180404355,Kira Marie Peter-Hansen,Kira Marie Peter-Hansen,13191
862049590591113,Lærerstandens Brandforsikring,Lærerstandens Brandforsikring,13068
611297145887529,Claus Hasselmann - Folketingskandidat,Hasselmann Claus,13012
779533958878609,SparEnergi.dk,SparEnergi.dk,12857
211409879739775,Ina Strøjer-Schmidt - SF’s Folketingsmedlem i Københavns omegnskommuner,Schmidt Ina,12759
1327403023996368,Hovmand Energi,Hovmand Energi,12638
362875644473220,Kim Valentin,Valentin Kim,12444
417767098249129,Niels E. Bjerrum,Bjerrum Niels,12293
167018996755220,Den Blå Planet,Den Blå Planet,12238
158166490894208,Gladsaxe Kommune,Gladsaxe Kommune,12214
108721937550160,Plastindustrien - Realistisk om plast,Jespersen Louise Brochner,12091
63503662682,Jyllands-Posten,These ads ran without a disclaimer,12054
718327901589937,Mette Thiesen,Nye Borgerlige,11992
1877705062505422,Ren madglæde,These ads ran without a disclaimer,11852
267019152979,"DPU, Aarhus Universitet",Carsten Henriksen,11811
66971052034,Hjerteforeningen,These ads ran without a disclaimer,11680
1036916083074871,Jeanné Vetling - Radikale Venstre,Vetling Jeanné Stobbe,11638
167891603415958,Lederne,These ads ran without a disclaimer,11620
28431859282,BLOX,BLOX,11592
58140803787,Lars Løkke Rasmussen,"Venstre, Danmarks Liberale Parti",11510
1386138498380111,Alternativet Nordsjælland,Alternativet Nordsjælland,11440
259411291598741,Oceans2clean,Oceans2clean,11336
418179784893842,Enhedslisten Hillerød,Rasmussen Karl-Erik,11104
113555862534,SF Ungdom,SF Ungdom,11067
1675976205990131,Rasmus Stoklund,Holm-Nielsen Rasmus Stoklund,11036
1070819859727581,Erick Thürmer,Erick  Rosenvinge,11028
142467658760,Foto I Glas,These ads ran without a disclaimer,11018
456543851540778,Nordic Solar,These ads ran without a disclaimer,10995
1522666927799763,BCG in Denmark,Boston Consulting Group,10958
389381838138010,Martin Rasmussen,HK Danmark,10928
166984636671085,Dansk Metal,Dansk Metal,10828
657491824390744,Spring Copenhagen,Spring Copenhagen,10783
240966039259839,Slush,These ads ran without a disclaimer,10672
1945999435500667,Love Beauty and Planet DK,Unilever,10672
469683646709792,Martin Skou Heidemann,Martin Heidemann,10639
185741612014,Nordisk Ministerråd og Nordisk Råd,Nordisk Ministerråd og Nordisk Råd,10631
159972227956433,"3F Privat Service, Hotel & Restauration",Thorkild Holmboe-Hay,10625
239624940212,HK Kommunal,HK Kommunal,10624
46265612799,FDM,FDM,10599
264226200420196,Tænketanken Europa,Tænketanken Europa,10477
348713338478849,Samira Nawa,Samira Nawa,10467
21465928829,"Venstre, Danmarks Liberale Parti",These ads ran without a disclaimer,10451
703754816720050,Grundfos DK A/S,Grundfos,10266
1679159822318963,Maistic - Komposterbart & Plastfrit,Maistic - Komposterbart & Plastfrit,10226
273915394506,Bilka,Bilka,10215
361528807267505,Researchkollektivet Redox,Researchkollektivet Redox,10158
163347624101027,JFK21 - Jorden Frihed Kundskab,These ads ran without a disclaimer,10147
398454550257699,Lars Boje Mathiesen,Nye Borgerlige,10122
80717675854,Søstrene Grene,These ads ran without a disclaimer,10017
1431155777134255,TEKNIQ Arbejdsgiverne,TEKNIQ Arbejdsgiverne og VELTEK,10000
162525743793575,Ase,These ads ran without a disclaimer,9977
657491824390744,Spring Copenhagen,These ads ran without a disclaimer,9888
126084211821,Danmarks Socialdemokratiske Ungdom (DSU),Danmarks Socialdemokratiske Ungdom (DSU),9877
165663090885071,Bio-tex,Biotex,9762
370360873057400,Holger K Nielsen,SF,9734
1964614710452668,MOOT,MOOT,9637
180519405977219,Frederiksværk Krisecenter,Frederiksværk Krisecenter,9601
148900938515423,Sofie Carsten Nielsen,Sofie Carsten Nielsen,9567
2088130821211883,EKF Danmarks Eksportkredit,EKF Danmarks Eksportkredit,9531
261377963890954,24syv,These ads ran without a disclaimer,9489
107605434134987,Digitale krænkelser koster,Ligestillingsafdelingen i Miljø- og Fødevareministeriet,9444
63503662682,Jyllands-Posten,Jyllands-Posten,9408
118458600937,Studenterrådet ved KU,Studenterrådet ved KU,9364
700191296727686,MENY,MENY,9342
1246666085407861,Karsten Hønge,SF,9338
122469085070,Teknisk Landsforbund,Teknisk Landsforbund,9326
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,9315
495897290562507,Fagbladet 3F,Fagbladet 3F,9197
555771057824100,Børne- og Undervisningsministeriet,Børne- og Undervisningsministeriet,9181
26531882197,Peter Westermann,Westermann Peter,9115
1302282123270001,Movia Trafik,Trafikselskabet Movia,9084
28312410177,World Food Programme,These ads ran without a disclaimer,9081
539352966216684,Vækstfonden,Vækstfonden,9003
285722315449568,Mai Villadsen,Enhedslisten,8939
1327955487287048,Allon Hein Sørensen,Sorensen Allon Hein,8797
559812524382076,Byrummonitor,Politiken Nicher,8795
1902645456721589,Steffen Mølgaard,Steffen Mølgaard Jensen,8684
109450894144575,Kontrast,Kontrast.dk Aps,8668
543377119182861,Grøn Forskel,These ads ran without a disclaimer,8613
1902645456721589,Steffen Mølgaard,Det Konservative Folkeparti,8535
66971052034,Hjerteforeningen,Hjerteforeningen,8474
77420716648,Energiselskabet Natur-Energi,Energiselskabet Natur-Energi,8441
356061704407268,VELUX,VELUX,8425
278806758891805,Gymnasieindsamler hos Røde Kors,Røde Kors,8385
184881101650192,Kim Simonsen,HK Danmark,8321
1102037186543326,Tid til vaccination mod influenza,Sundhedsstyrelsen,8298
1469658016633937,Danny Malkowski,Malkowski Danny Knudsen,8140
1446381202351408,Føljeton,These ads ran without a disclaimer,8036
168273166614132,GasEntusiasterne,HOFOR,8000
48034275355,EPP - European People's Party,EPP - European People's Party,7987
340189926157676,Jeppe Bruus,Christensen Jeppe Bruus,7977
