Page ID,Page Name,Disclaimer,Amount Spent (DKK)
2190488887846226,Petar Socevic,Socevic Petar,10531
34290022401,Kristeligt Dagblad,These ads ran without a disclaimer,10403
1104790642968068,Peter Seier Christensen,Nye Borgerlige,10400
398454550257699,Lars Boje Mathiesen,Nye Borgerlige,10246
1405355586351630,Carlsbergfondet,Carlsbergfondet,10228
229585537051606,DM Akademikerbladet,Magisterbladet,10147
138978072648,Dansk Vegetarisk Forening - DVF,Dansk Vegetarisk Forening - DVF,10118
38203759052,GOSH COPENHAGEN,E. Tjellesen,10076
256203941229187,Astrid Krag,Astrid Krag,10076
107321204072537,DoLand,DoLand,10046
231609407194100,Isabella Arendt,Kristendemokraterne,9980
190576781304993,Realdania,These ads ran without a disclaimer,9908
779533958878609,SparEnergi.dk,SparEnergi.dk,9907
425516604194707,Holbæk Kommune,Holbæk Kommune,9666
334318366655425,Facebook,Facebook,9577
311398977614,Ben & Jerry's,Ben & Jerry's,9435
153640394698032,Roskilde Kommune,Roskilde Kommune,9241
137685999659722,Jeppe Kofod,Socialdemokratiet,9145
2047554945456852,Climaider,Climaider,9076
543437586483586,Anders Gøthe - Køge,Gøthe Anders,9023
65873757126,Spies Rejser,Spies Rejser,8853
395049730871905,"John Axelsen, Liberal Alliance",Liberal Alliance,8812
1408626239355160,Søren Espersen,Søren Espersen,8743
112613428815157,CEPOS,CEPOS,8674
376442055780548,"Søren Søndergaard, formand for Landbrug & Fødevarer",Landbrug & Fødevarer,8669
1427831394175028,Mælken.dk,Mælken.dk,8656
167412043730,Venstres Ungdom - VU,Venstres Ungdom - VU,8632
2026943437576033,plusimpact.io,plusimpact,8596
46265612799,FDM,FDM,8499
108721937550160,Plastindustrien - Realistisk om plast,Jespersen Louise Brochner,8358
265531163485983,Danske Spil Casino,These ads ran without a disclaimer,8143
106118147843145,CO2HERO,CO2HERO,8120
437410226312057,Københavns Kommune,Københavns Kommune,8097
429072850823476,Akademikerne - AC,Akademikerne,8025
133707013355759,Danner,These ads ran without a disclaimer,7949
657491824390744,Spring Copenhagen,Spring Copenhagen,7949
142467658760,Foto I Glas,These ads ran without a disclaimer,7765
416754568372426,Konservative Folkeparti i Køge Kommune,Rasmussen Bjarn,7745
128483917218766,Verisure Danmark,These ads ran without a disclaimer,7613
101272095140798,Tomas Breddam,Tomas Breddam,7561
148262698530816,Audi Danmark,Audi Danmark,7547
108640660692944,Familie og Alkohol,Jonas Hansen,7499
2284894828455506,OKFakta,CO-industri,7468
1109822592433969,Waturu Holding A/S,Waturu Holding A/S,7424
166984636671085,Dansk Metal,Dansk Metal,7360
1866357980295379,AkademikerPension,MP Pension,7308
149221835677222,SMVdanmark,SMVdanmark,7305
1323811891079601,Lev Uden Vold,Lev Uden Vold,7280
152307371499138,Änglamark,Coop,7257
189743007654,Gyldendal,Gyldendal,7231
1002755833225691,Linea Søgaard-Lidell,Søgaard-Lidell Linea,7203
1692293757749735,Tanja Larsson - Socialdemokratiet,These ads ran without a disclaimer,7103
67571270393,Red Barnet,These ads ran without a disclaimer,6975
223690937691260,Falck Danmark,These ads ran without a disclaimer,6927
313024569028540,Mino Danmark,Mino Danmark,6922
119769598101853,Konservativ Ungdom,Konservativ Ungdom,6910
728307113871618,Klaus Riskær Pedersen,Parti Klaus Riskaer Pedersen,6801
1246666085407861,Karsten Hønge,SF,6763
100161418032681,EcoTree International,EcoTree International,6734
106085439854417,Eniig,Eniig,6722
1933946066835612,Udenrigsministeriet,Udenrigsministeriet,6700
924692171033381,"UNHCR, FN’s Flygtningeorganisation",UNHCR Danmark,6695
116227401722605,Dansk Flygtningehjælp,These ads ran without a disclaimer,6656
12787473132,Berlingske,These ads ran without a disclaimer,6573
405892706501089,Med Israel for fred - MIFF Danmark,Rika Greenberg,6570
66971052034,Hjerteforeningen,These ads ran without a disclaimer,6556
113158773469624,Pernille Vermund,Nye Borgerlige,6550
1666889143631205,Drugstars,Claus Møldrup,6469
77745897680,FEMINA,Aller Media,6323
804766666245937,Novo Nordisk Fonden,Novo Nordisk Fonden,6308
867877683280051,Weekendavisen,These ads ran without a disclaimer,6287
58140803787,Lars Løkke Rasmussen,"Venstre, Danmarks Liberale Parti",6210
764212570440726,Sampension,Sampension,6174
1679159822318963,Maistic - Komposterbart & Plastfrit,Maistic - Komposterbart & Plastfrit,6139
113891193687819,LUMIERER,Nadja Katrine Kalnæs,6131
153640394698032,Roskilde Kommune,These ads ran without a disclaimer,6125
456543851540778,Nordic Solar,Marta Karadottir,6027
319060951624796,BetterHome,Niels Kåre Bruun,5955
1952826148148615,Pengetanker by Danske Bank,Pengetanker by Danske Bank,5945
107605434134987,Digitale krænkelser koster,Ligestillingsafdelingen i Miljø- og Fødevareministeriet,5915
718327901589937,Mette Thiesen,Nye Borgerlige,5853
657491824390744,Spring Copenhagen,These ads ran without a disclaimer,5781
2047554945456852,Climaider,RenSti,5752
389381838138010,Martin Rasmussen,HK Danmark,5741
80717675854,Søstrene Grene,These ads ran without a disclaimer,5738
1102037186543326,Tid til vaccination mod influenza,Sundhedsstyrelsen,5711
113532376857366,Christian Ingemann,Christian Ingemann,5697
67220797992,Operation Dagsværk,Operation Dagsværk,5616
291959844520896,Marcus Knuth,Marcus Knuth,5581
259411291598741,Oceans2clean,Oceans2clean,5572
100155351806014,Æra,Ræson,5561
63503662682,Jyllands-Posten,These ads ran without a disclaimer,5525
1877705062505422,Ren madglæde,These ads ran without a disclaimer,5473
1704424023182897,Politiken Historie,Politiken Historie,5450
159764527386205,VoresMad.dk,Landbrug & Fødevarer,5428
703754816720050,Grundfos DK A/S,Grundfos,5391
66971052034,Hjerteforeningen,Hjerteforeningen,5348
555771057824100,Børne- og Undervisningsministeriet,Børne- og Undervisningsministeriet,5323
21465928829,"Venstre, Danmarks Liberale Parti",These ads ran without a disclaimer,5265
239624940212,HK Kommunal,HK Kommunal,5257
133615160025285,Rådet for Grøn Omstilling,Rådet for Grøn Omstilling,5210
183887801641951,Verdens Skove,These ads ran without a disclaimer,5190
256754327854276,Jacob Jensen,Nielsen Rasmus Trillingsgaard,5149
159972227956433,"3F Privat Service, Hotel & Restauration",Thorkild Holmboe-Hay,5110
36730930417,Margrete Auken,SF,5108
167891603415958,Lederne,These ads ran without a disclaimer,5095
33510214383,Pia Kjærsgaard,Dansk Folkeparti,5056
162525743793575,Ase,These ads ran without a disclaimer,5026
1497190180404355,Kira Marie Peter-Hansen,Kira Marie Peter-Hansen,4956
327826023928663,Rune Kristensen,Rune Kristensen,4912
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,4861
1343543785659663,Dyrevelfærd i mejeribruget,Dyrevelfærd i mejeribruget,4843
126084211821,Danmarks Socialdemokratiske Ungdom (DSU),Danmarks Socialdemokratiske Ungdom (DSU),4831
216311481960,Bill Gates,These ads ran without a disclaimer,4785
126084211821,Danmarks Socialdemokratiske Ungdom (DSU),DSU,4704
172015929586612,Modstrøm - Spar på elregningen og skån miljøet,These ads ran without a disclaimer,4666
449803521791656,Stén Knuth,Knuth Stén,4646
631199173747090,Arbejdere I Bevægelse - VORES OK20,Arbejdere I Bevægelse - VORES OK20,4629
105506680979472,Nyt Syn Ringsted,Nyt Syn Danmark,4602
63503662682,Jyllands-Posten,Jyllands-Posten,4574
77420716648,Energiselskabet Natur-Energi,Energiselskabet Natur-Energi,4557
301647537160818,En grønnere planet,Greenpeace Danmark,4552
101354341782002,Red Omø Syd Havvindmøllepark,European Energy A/S,4530
113241872062337,Skole og Forældre,Skole og Forældre,4495
100700698043032,Simon Østergaard,Simon Østergaard,4445
366939412915,Din Sundhedsfaglige A-kasse - DSA,Din Sundhedsfaglige A-kasse - DSA,4412
122469085070,Teknisk Landsforbund,Teknisk Landsforbund,4409
356061704407268,VELUX,VELUX,4395
99632942471,Læger uden Grænser (MSF),These ads ran without a disclaimer,4314
852608988134698,Tikko,These ads ran without a disclaimer,4305
2088130821211883,EKF Danmarks Eksportkredit,EKF Danmarks Eksportkredit,4298
273915394506,Bilka,Bilka,4262
1964614710452668,MOOT,MOOT,4257
495574610498853,Teach First Danmark,Teach First Danmark,4250
454724341400431,Grundfos,Grundfos,4187
121774257973219,"Jonas Ring Madsen, Borgmesterkandidat, Solrød Kommune",Madsen Jonas Ring,4187
399210657232918,PlanBørnefonden,These ads ran without a disclaimer,4149
261377963890954,24syv,These ads ran without a disclaimer,4116
531761723507375,Kristian Thulesen Dahl,Dansk Folkeparti,4096
371163919965024,Andreas Karlsen,Karlsen Andreas Engelsborg,4075
