Page ID,Page Name,Disclaimer,Amount Spent (DKK)
1109822592433969,Waturu Holding A/S,Waturu Holding A/S,16559
334318366655425,Facebook,Facebook,16266
104695404710124,Frie Grønne - Danmarks Nye Venstrefløjsparti,"Frie Grønne, Danmarks Nye Venstrefløjsparti",16239
311398977614,Ben & Jerry's,Ben & Jerry's,16196
1405355586351630,Carlsbergfondet,Carlsbergfondet,16193
2229332167280623,"Marianne Karlsmose, KD-politiker",Kristendemokraterne,16111
2190488887846226,Petar Socevic,Socevic Petar,16099
38203759052,GOSH COPENHAGEN,E. Tjellesen,16055
287814831337164,Jesper Petersen,Jesper Petersen,15754
1450750935146684,Asger Christensen i EU,Christensen Asger Bank Møller,15510
1246666085407861,Karsten Hønge,SF,15423
470433920022890,Nanna Bonde,Ottosen Nanna Bonde,15314
170821413115387,Rune Christiansen - Radikale Venstre,Christiansen Rune,15298
799753056713196,Lars Sandahl Sørensen,Dansk Industri - DI,15297
167412043730,Venstres Ungdom - VU,Venstres Ungdom - VU,14948
106118147843145,CO2HERO,CO2HERO,14877
336333896418452,Assens Kommune,Assens Kommune,14850
2026943437576033,plusimpact.io,plusimpact,14836
728307113871618,Klaus Riskær Pedersen,Parti Borgerlisten,14819
2047554945456852,Climaider,Climaider,14751
137685999659722,Jeppe Kofod,Socialdemokratiet,14457
1407237706021123,Anne Skau Styrishave,Styrishave Anne Skau,14430
1866357980295379,AkademikerPension,MP Pension,14253
101286428483346,Annette Blynel,SF Region Syddanmark,14050
46265612799,FDM,FDM,13854
138978072648,Dansk Vegetarisk Forening - DVF,Dansk Vegetarisk Forening - DVF,13690
65873757126,Spies Rejser,Spies Rejser,13429
1323811891079601,Lev Uden Vold,Lev Uden Vold,13290
779533958878609,SparEnergi.dk,SparEnergi.dk,13219
265531163485983,Danske Spil Casino,These ads ran without a disclaimer,13199
146956228206,Red Barnet Ungdom,These ads ran without a disclaimer,13066
470510540054045,Teknologipagten,Primetime Kommunikation,13030
1493650460890885,Kenneth Fredslund Petersen - DF Folketingskandidat i Syd og SdrJylland,Petersen Kenneth Fredslund,12868
2284894828455506,OKFakta,CO-industri,12819
1427831394175028,Mælken.dk,Mælken.dk,12720
148262698530816,Audi Danmark,Audi Danmark,12540
657491824390744,Spring Copenhagen,Spring Copenhagen,12410
862049590591113,Lærerstandens Brandforsikring,Lærerstandens Brandforsikring,12232
166984636671085,Dansk Metal,Dansk Metal,12138
1377441749244487,Rasmus Helveg Petersen,Radikale Venstre,12080
152307371499138,Änglamark,Coop,11993
550516114987588,Middelfart Kommune,Middelfart Kommune,11786
652914664906178,Mikropol Vejle,Vejle Kommune,11517
58140803787,Lars Løkke Rasmussen,"Venstre, Danmarks Liberale Parti",11259
1442400742660069,Ulla Tørnæs,Ulla Tørnæs,11208
703754816720050,Grundfos DK A/S,Grundfos,11190
189743007654,Gyldendal,Gyldendal,11105
119769598101853,Konservativ Ungdom,Konservativ Ungdom,11032
112613428815157,CEPOS,CEPOS,10838
867877683280051,Weekendavisen,These ads ran without a disclaimer,10755
393486437446456,Mark Grossmann,Venstre Odense 1. kreds,10660
1933946066835612,Udenrigsministeriet,Udenrigsministeriet,10654
142467658760,Foto I Glas,These ads ran without a disclaimer,10620
1952826148148615,Pengetanker by Danske Bank,Pengetanker by Danske Bank,10616
108721937550160,Plastindustrien - Realistisk om plast,Jespersen Louise Brochner,10470
389381838138010,Martin Rasmussen,HK Danmark,10463
107321204072537,DoLand,DoLand,10416
77745897680,FEMINA,Aller Media,10328
63503662682,Jyllands-Posten,Jyllands-Posten,10138
319060951624796,BetterHome,Niels Kåre Bruun,10133
728307113871618,Klaus Riskær Pedersen,Parti Klaus Riskaer Pedersen,10013
273915394506,Bilka,Bilka,10012
276323316097998,Anni Matthiesen,Venstre i Vejenkredsen,9986
1922596311326861,Folketingskandidat Jørgen Nielsen,Det Konservative Folkeparti,9955
161801967707312,Frederik Bloch Münster,Det Konservative Folkeparti,9951
102233134700942,"Store Bøffer, Små Hjerter",Thorkild Holmboe-Hay,9848
429072850823476,Akademikerne - AC,Akademikerne,9772
63503662682,Jyllands-Posten,These ads ran without a disclaimer,9659
100161418032681,EcoTree International,EcoTree International,9635
1343543785659663,Dyrevelfærd i mejeribruget,Dyrevelfærd i mejeribruget,9622
128483917218766,Verisure Danmark,These ads ran without a disclaimer,9604
376442055780548,"Søren Søndergaard, formand for Landbrug & Fødevarer","Martin Merrild, formand i Landbrug & Fødevarer",9557
1666889143631205,Drugstars,Claus Møldrup,9398
924692171033381,"UNHCR, FN’s Flygtningeorganisation",UNHCR Danmark,9393
149221835677222,SMVdanmark,SMVdanmark,9391
80717675854,Søstrene Grene,These ads ran without a disclaimer,9250
100190170314199,MF Jane Heitmann,Heitmann Jane Vallebo,9219
107605434134987,Digitale krænkelser koster,Ligestillingsafdelingen i Miljø- og Fødevareministeriet,9205
1102037186543326,Tid til vaccination mod influenza,Sundhedsstyrelsen,9154
101354341782002,Red Omø Syd Havvindmøllepark,European Energy A/S,9143
1002755833225691,Linea Søgaard-Lidell,Søgaard-Lidell Linea,9106
100952085083394,Fremtidens Bæredygtige Landskaber,Fremtidens Bæredygtige Landskaber,9079
456543851540778,Nordic Solar,Marta Karadottir,9011
113158773469624,Pernille Vermund,Nye Borgerlige,8917
