Page ID,Page Name,Disclaimer,Amount Spent (DKK),Number of Ads in Library
799753056713196,Lars Sandahl Sørensen,Dansk Industri - DI,81856,152
164203730418041,Tommy Hummelmose,Hummelmose Tommy,81827,88
253132104886911,Kvisten,Kvisten,81437,72
313024569028540,Mino Danmark,Mino Danmark,81320,167
22030968736,Anima,Anima,80689,36
390925417751473,Erling Bonnesen,Bonnesen Erling Faber,80530,208
1902044243366919,Stop HPV - bliv vaccineret,Kræftens Bekæmpelse,79276,90
470510540054045,Teknologipagten,Primetime Kommunikation,77158,10
867877683280051,Weekendavisen,These ads ran without a disclaimer,76957,81
149239523456,Dansk Fjernvarme,Dansk Fjernvarme,76154,77
138978072648,Dansk Vegetarisk Forening - DVF,Dansk Vegetarisk Forening - DVF,75867,189
38203759052,GOSH COPENHAGEN,E. Tjellesen,75677,59
2026943437576033,plusimpact.io,plusimpact,74525,6
398454550257699,Lars Boje Mathiesen,Nye Borgerlige,72997,76
102429034973588,Lysogluft.nu,Altan.dk,72947,272
100161418032681,EcoTree International,EcoTree International,72713,328
115640115158981,SF Region Syddanmark,SF,71914,106
127374293943963,HK HANDEL,HK HANDEL,69815,100
132364993978468,Andreas Steenberg,Streenberg Andreas Frost,69589,225
1405355586351630,Carlsbergfondet,Carlsbergfondet,69230,103
252520351444054,Morten Østergaard,Radikale Venstre,69070,121
112613428815157,CEPOS,CEPOS,68378,486
177609692660255,Niels Flemming Hansen,Hansen Niels Flemming Schultz,66756,89
376442055780548,"Søren Søndergaard, formand for Landbrug & Fødevarer",Landbrug & Fødevarer,66609,121
671022293105597,Alex Vanopslagh,Alex Vanopslagh,66506,167
504310436316194,Laura Lindahl,Laura Lindahl,65483,97
577345799101307,Morten Dahlin,Morten Dahlin,65339,201
167412043730,Venstres Ungdom - VU,Venstres Ungdom - VU,65242,62
1427831394175028,Mælken.dk,Mælken.dk,64990,38
127344360615074,Zenia Stampe,Zenia Stampe,63963,43
674034729594774,Nikolaj Bøgh,Nikolaj Bøgh,63758,85
862049590591113,Lærerstandens Brandforsikring,Lærerstandens Brandforsikring,63636,63
137685999659722,Jeppe Kofod,Socialdemokratiet,63179,50
67571270393,Red Barnet,These ads ran without a disclaimer,62855,68
1458354184437993,Nicolai Wammen,Socialdemokratiet,61828,256
65873757126,Spies Rejser,Spies Rejser,60257,23
102233134700942,"Store Bøffer, Små Hjerter",Thorkild Holmboe-Hay,60175,18
1109822592433969,Waturu Holding A/S,Waturu Holding A/S,60036,14
429072850823476,Akademikerne - AC,Akademikerne,58767,133
389665107805619,Michael Aastrup Jensen,Jensen Michael Aastrup,58525,110
264009771074617,Niels Fuglsang,Fuglsang Niels Peder Rindum,58357,406
1323811891079601,Lev Uden Vold,Lev Uden Vold,57120,41
779533958878609,SparEnergi.dk,SparEnergi.dk,57000,8
1933946066835612,Udenrigsministeriet,Udenrigsministeriet,56730,13
265531163485983,Danske Spil Casino,These ads ran without a disclaimer,56666,7
329413910880676,Jan E. Jørgensen,Jørgensen Jan Ejnar,56379,7
2284894828455506,OKFakta,CO-industri,56131,25
301279783370957,Steen Holm Iversen,Steen Holm Iversen,55780,22
1704424023182897,Politiken Historie,Politiken Historie,55725,38
148262698530816,Audi Danmark,Audi Danmark,55647,28
146956228206,Red Barnet Ungdom,These ads ran without a disclaimer,55402,108
