Page ID,Page Name,Disclaimer,Amount Spent (RON),Number of Ads in Library
2021287728125919,Stiri de Azi,Stiri de Azi,53288,54
1653699758248627,Ion ȘTEFAN,PNL Vrancea,52846,57
175857716097907,Marian Andronache,Partidul Mișcarea Populară Suceava,52620,63
712580168875913,Soós Zoltán,Soós Zoltán,51991,331
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,ALDE,51895,324
435614816576664,Claudiu Maior,PRO România Mureș,51711,93
324424001419299,Horia Constantinescu,eTrezirea,51435,72
1785666108373699,Calota Samuel,lpv media pro srl,50432,130
422079857963680,PNL Constanţa,Partidul Național Liberal Filiala Constanța,50321,137
304735519648377,Guvernul României,Crucea Rosie Romana,50274,22
474481680018003,Bogdan Toader,PSD Prahova,50018,244
545080748992528,Ciprian Ciucu,PNL Sector 6,49982,127
101021281285384,Info360,Info360.ro,48247,29
213456325928364,Cosmin Vasile,PSD Dolj,48084,42
192813847556849,Catalin Ivan,Partidul Ecologist Român,48022,41
1469610256621123,PNL Dambovita,Advertising AD Connect,47569,381
329619180721358,Cosette Chichirău,Chichirau Cosette-Paula,47414,116
1210260295704425,USR Arad,Uniunea Salvați România filiala Arad,46957,478
144830532755824,PRO România București,PRO Romania Bucuresti,46798,63
290423314363157,Dan Cristian Popescu,Dan Cristian Popescu,46344,178
103691414351874,Un Om - Mircea Diaconu,Alianta UN OM,46012,34
1255037557904732,Florin Orțan,PSD Brasov,45366,54
415165838654554,Dan Tudorache,Dan Tudorache,45026,30
1385405838141456,USR Prahova,USR Prahova,44945,225
988607871174850,Grupul de Investigatii Politice,Grupul de Investigatii Politice,44856,34
324424001419299,Horia Constantinescu,Horia Constantinescu,44676,85
901290179956752,Autoritatea Electorală Permanentă,Autoritatea Electorală Permanentă,44599,26
1653726584879481,Mihai Fifor,PSD Arad-CMF21200019,44272,357
174291436685142,Gabriel Valer Zetea,PSD Maramures,44201,52
106810404209140,Vlad Voiculescu,USR București,44018,50
1602563209957356,PNL Bacău,Branding Digital Strategy,43918,105
100714001787080,PSD Alba,PSD Alba,43666,103
104675774450338,Alianța USR PLUS Suceava,USR Suceava,43574,86
360184320712594,Raluca Turcan,PNL Sibiu,43347,194
101322554583643,Ciuma Roșie,Ciuma Roșie,43216,52
698760586929790,USR Constanța,USR Constanța,42907,147
183473261723511,Ziar Piatra Neamt,Media PR Grup,42894,258
180205302758780,Cristian Băcanu,Partidul Naţional Liberal,42772,81
