Page ID,Page Name,Disclaimer,Amount Spent (HUF),Number of Ads in Library
111194957256687,EzaLényeg.hu - Tiszaújváros,EzaLényeg.hu,2049798,598
191461774219575,hirado.hu,hirado.hu,2039374,116
440386766094990,"Dr. Oláh Lajos, Terézváros és Erzsébetváros országgyűlési képviselője",Dr. Oláh Lajos,2034655,46
386132578063762,Balaicz Zoltán,Balaicz Zoltán,2030179,316
762305787130420,Józsefvárosi Fidesz,Józsefvárosi Fidesz,2013349,74
113375923695023,Fidesz Budapest,Fidesz Budapest,1978400,40
191946490841225,Dúró Dóra,Sipos,1941387,30
109503892404998,Világgazdaság,Világgazdaság,1934965,164
543788999005363,ORIGO,New Wave Media Group Kft.,1933977,18
224964221492530,Magyar Turisztikai Ügynökség,Magyar Turisztikai Ügynökség,1916414,78
664749840618152,Veres Pál,These ads ran without a disclaimer,1862122,9
101028767982783,Ne dolgozz ingyen,PDSZ - Pedagógusok Demokratikus Szakszervezete,1860542,369
306318386058001,Dr. Molnár Csaba,Demokratikus Koalíció,1857987,65
111935763510882,EzaLényeg.hu - FerencJózsef,EzaLényeg.hu,1820514,759
85568463466,Mérce,Mérce,1820081,967
112879632128020,Novák Előd,Mi Hazánk Mozgalom,1814975,13
184890488198962,Bana Tibor,Bana Tibor,1811399,338
407084009419897,Dr. Szakács László,Dr. Szakács László,1800812,30
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,1769241,173
268042136672212,Századvég,Századvég Politikai Iskola Alapítvány,1745831,856
118657215352253,Dr. László Imre,Demokratikus Koalíció,1733409,43
1828572300805912,Rosatom Global,These ads ran without a disclaimer,1722955,26
682448271826776,Cseh Katalin,Cseh Katalin,1720730,68
1372750529476614,Demeter Márta,LMP - Lehet Más a Politika,1684554,91
1215492498464496,Angyal Károly,Angyal Károly Tibor,1664938,439
1431472540477496,Dr. Fülöp Erik,Országgyűlés Hivatala,1662795,44
193944440638410,Karácsony Gergely,Budapest Főváros Önkormányzata,1647958,60
113622593341249,EzaLényeg.hu - Észak-Pest,EzaLényeg.hu,1646407,600
459857721241298,"Vári Attila, Pécs önkormányzati képviselője","Vári Attila, Pécs polgármesterjelöltje",1643573,43
528938113912149,Baranyi Krisztina,Baranyi Krisztina,1629707,20
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,1620820,13
1433332953628843,"Debreceni Állatkert, Növénykert és Vidámpark","Debreceni Állatkert, Növénykert és Vidámpark",1610519,70
53447723449,Publicus Intézet,Publicus Kutató és Tanácsadó Kft.,1608755,1471
1381558792064873,Niedermüller Péter,Niedermüller Péter,1570331,41
136387873164491,Csárdi Antal,LMP - Lehet Más a Politika,1539010,70
484401051735475,Príma,Príma,1502310,86
599485673455396,Magyar Éremkibocsátó Kft.,Magyar Éremkibocsátó Kft.,1501631,32
134477239724,Bringázz a Munkába,Magyar Kerékpárosklub,1430500,12
257711127995971,Érem Művészeti Kiadó Kft.,These ads ran without a disclaimer,1410044,37
180924612473518,Dr. Brenner Koloman,Országgyűlés Hivatala Jobbik Frakció,1396774,121
100505208108482,Budapest Városháza,Budapest Főváros Önkormányzat,1387410,53
781030738624077,Gyöngyösi Márton,Országgyűlés Hivatala Jobbik Frakció,1386008,28
320701218553533,Alternatíva Párt,Alternatíva párt,1378843,891
909857259153313,Dr. Steinmetz Ádám,Országgyűlés Hivatala Jobbik Frakció,1373890,148
