Page ID,Page Name,Disclaimer,Amount Spent (CZK),Number of Ads in Library
274780189299925,ČSSD Olomoucký kraj,ČSSD,79229,23
129667385500897,Roman Línek,Programmatic media,78465,235
1696541430584339,ODS Pravý hlas pro Olomoucký kraj,ODS Olomoucký kraj,78436,41
356451014434612,Marian Jurečka,Lambert Vojtech,78171,153
394570898000897,Kniha Revoluce - Jakub Trpiš,These ads ran without a disclaimer,78017,211
270332350585308,3PK - Pro prosperující Pardubický kraj,3PK,77981,170
55408246161,Amnesty International ČR,These ads ran without a disclaimer,77143,9
315747282263515,"Jakub Stárek, místostarosta Šestky",ODS - Občanská demokratická strana,76894,124
2420640831526864,Marek Ošťádal • hanácké senátor,Starostové a nezávislí,76685,85
1161002053978712,Jitka Seitlová,KDU-ČSL,75311,425
286151105540772,Tomáš Janča,Tomáš Janča,74677,71
2256794514563672,Češi v právu,Češi v právu,74219,215
315785608793015,Marek Šoška I Za českou krajinu,Soska Marek,74031,313
117330538358428,KDU-ČSL Vysočina,Krajská organizace KDU-ČSL Vysočina,73566,97
1691199151153995,Pavel Klíma,TOP 09,73302,28
108543394034487,"MUDr Tomáš Tomáš, Ph.D.",KDU-ČSL,72930,126
107942197433640,Luboš Peterka - starosta městyse Radomyšl,KDU-ČSL,72087,33
2016193845077300,"Renáta Zajíčková, starostka Pětky",Renáta Zajíčková,71763,113
218764824871418,Koalice pro Královéhradecký kraj,Koalice pro Královehradecký kraj,71229,40
114723720265985,Pavel Staněk - aktivnipolitik.cz,Pavel Staněk,70926,33
105859461356280,Exekuční neřád,Rekonstrukce státu,70897,104
466459903794526,MUDr. Ivan David,European Parliament,70742,39
369791889744166,Tomáš Havlíček,ODS - Občanská demokratická strana,70226,13
513927259349822,Nadace Tipsport,Nadace TIPSPORT,70063,3
104377771057352,Severočeši.cz - Z regionu do kraje,Jan Dostal,69317,71
206407509818,Blesk.cz,Czech News Center a.s.,68776,26
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,68696,138
876081855773308,Pošta Zdarma,These ads ran without a disclaimer,68514,1
109870957154839,Home Voluntarily / Домой добровольно / Tự nguyện hồi hương,Mezinárodní organizace pro migraci (IOM),67762,121
106623104162119,Trikolóra Zlínský kraj,Trikolóra,67533,36
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,67263,16
1220066088147062,Ondřej Krutílek,ODS,67030,21
764700610326484,ODA,These ads ran without a disclaimer,66357,5
778460319203526,Jaroslav Suchý,Lambert Vojtech,65346,63
111041662264882,ČSSD,These ads ran without a disclaimer,65317,42
1104866262972886,Michal Šmarda,ČSSD,65161,49
578342809023884,Jsme fér,Prague Pride,65041,93
107030191066487,Tomáš Fiala - senátor za obvod č. 12,Tomáš Fiala,64916,92
106149624597497,Manifest.cz,David Tesař,64473,28
1657306687747703,Lukáš Berta - Svobodná vlaštovka,Lukáš Berta,64013,229
230115400471918,Sanatorium Sanus,Sanatorium Sanus,63465,86
129832104026166,Motora,These ads ran without a disclaimer,62901,1
315774705253187,Miloslav Ludvík,ČSSD,62195,16
107427534297677,Petr Štěpánek • senátor,Starostové a nezávislí,61885,30
159731441359190,hnutí spOLečně,hnutí spOLečně,61719,196
1386439704902726,Piráti Zlínský kraj,Česká pirátská strana,61693,43
1439143123070953,Svoboda a přímá demokracie  Liberecký kraj - SPD,Radovan Vích,60884,46
872454636138704,OBRAZ - Obránci zvířat,OBRAZ - Obránci zvířat,60738,25
117787408240075,Radim Fiala - SPD,Radim Fiala - SPD,60403,11
1158239840904919,Jiří Kudláček,Koalice Trikolóra/ODA,60352,20
332418787330819,VOK - Volba pro kraj,"Volba pro kraj, politické hnutí",60000,60
109908443947034,Nová krajská nemocnice Zlín,Zlínský kraj - oficiální stránka,59550,56
1034382646741170,Mansoor Maitah do Senátu,Maitah Mansoor,59385,9
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,59358,44
1757913860945739,ORLEN Unipetrol,Unipetrol,59033,57
105586287727373,Jan Grulich - senátor z hor,TOP 09,58630,48
187407575190610,Adam Scheinherr,PRAHA SOBĚ,58566,105
831439603700757,Jan Grois - místostarosta města Znojma,Jan Grois,58531,81
171976652332,Mladí demokraté,Mladí demokraté,58502,61
248770028560533,Integrační centrum Praha / Integration centre Prague,Integrační centrum Praha / Integration centre Prague,57872,142
1828572300805912,Rosatom Global,These ads ran without a disclaimer,57389,24
39371299263,Zelení - Strana zelených,Zelení - Strana zelených,57388,25
527708290604742,Alexander Bellu,ODS - Občanská demokratická strana,57052,132
104963598002320,Pravé spojení pro Plzeňský kraj,Občanská demokratická strana,57043,82
733410133337387,Michaela Šojdrová,KDU-ČSL,56892,39
400970967000022,Jan Zahradil,ODS - Občanská demokratická strana,56864,48
354720798344277,TvůjSprávce.cz,These ads ran without a disclaimer,56354,13
944792105610443,PRAHA SOBĚ,PRAHA SOBĚ,55961,91
2675743919122449,Nakupino.cz,These ads ran without a disclaimer,55642,75
1240809492610426,"Jan Jakob - starosta, poslanec",TOP 09,54484,40
121241337968943,"Koruna Česká - monarchistická strana Čech, Moravy a Slezska","Koruna Česká - monarchistická strana Čech, Moravy a Slezska",54312,9
107733504431288,CEVRO ARENA,Jiří Cieslar,54068,95
144298469843,Ronnie.cz,These ads ran without a disclaimer,53606,1
113755299053,MUDr. Gabriela Pecková - TOP 09,Vondryska Jan,53066,30
283758168405698,Starostové pro Vysočinu,Starostové pro Vysočinu,52709,91
342983399151939,Econea,Econea,52613,31
105959931114296,Jan Schiller - politik,ANO,52458,6
108149870772569,Probuďme Vysočinu,Občanská demokratická strana,52449,62
105410686588,Česká pirátská strana - Jihomoravský kraj,Česká pirátská strana,52442,85
321165708610626,Andrej Bóna,Vokoun Tomas,51871,9
108726857444837,České zájmy v EU,České zájmy v EU,51560,53
100938454833016,Petr Michálek - ředitel zlínského divadla,Petr Michálek (STAN),51534,136
470593056405865,Kde fondy EU pomáhají,These ads ran without a disclaimer,51309,40
1095114177216463,Jan Holásek - senátor za Hradecko,Hradecký demokratický klub,51277,89
394054867410128,4Life Direct Česká Republika,These ads ran without a disclaimer,51212,21
400970967000022,Jan Zahradil,Jan Zahradil,50809,55
162310277268109,"Ing. Jaromír Kohlíček, CSc.",Kohlicek Jaromir,50020,107
109617549654,František JOHN,Jan Šafařík,49890,29
1414644678821208,Ivo Valenta,Strana soukromníků České republiky,49249,24
729627343834501,Kialo,These ads ran without a disclaimer,49204,316
106767797724979,Lepší Sever,Miloš Štěpař,49119,32
163179013855806,ČSSD Jihomoravský kraj,ČSSD,49055,17
206630153142726,Marek Výborný,Macků Ondřej,49051,71
18349420804,Heureka.cz,These ads ran without a disclaimer,48936,1
111998407283880,Senátor Ondřej Šimetka,ODS,48856,42
102133468221051,Letos pod STAN,STAN,48562,67
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,48006,67
1088929847874388,Pavel Telička,TOP 09,47987,27
110766473981716,Bruselská dáma,Klimatická koalice,47328,56
107341401103593,Pynelopi Cimprichová,Jednotní,47313,24
112503423634725,Josef Bazala,Miroslav Hanus,47227,161
189869368286158,Martin Kukla,Martin Kukla,47077,76
284247164921991,Pirátská strana - Vysočina,Česká pirátská strana,46801,32
236188077099716,"Prof. MUDr. Jan Čáp, CSc",David Dobrovolný,46351,71
156758384361738,Filip Ušák,Starostové a nezávislí • STAN,46286,62
109216570900868,STAN Zlínský kraj - krajské volby 2020,Starostové a nezávislí • STAN,46186,25
92337755037,Český rozhlas,Český rozhlas,46088,11
1483237748591093,Festival svobody,Festival svobody,46011,66
219333261570307,Dita Charanzová,ANO,46007,12
112137787250428,Milan Rychtařík politik,Milan Rychtarik,45809,5
104083337935528,Karel Zitterbart,Starostové a nezávislí • STAN,45723,38
298846480253485,Robert Veverka - politik,Jaroslav Němec,45590,47
1758963624352554,Jitka Volfová,ANO,45545,29
115589329891193,Konference Budoucnost evropského zemědělství /2020,European Parliament,45352,32
110175187474897,ODS + STAN a Východočeši,"ODS, STAN a Východočeši",44378,60
571165316730867,David Smoljak,Starostové a nezávislí • STAN,44373,25
100683176313,iDNES.cz,These ads ran without a disclaimer,44361,7
110795960297529,PURPANDA,Horacek Ondrej,44260,9
103257168112944,Pro TOP Vysočinu,TOP 09 Vysočina,43921,123
106901094332851,Recykluj - nespaluj,Recykluj - nespaluj,43432,44
573964139387685,"Prof. MUDr. Jaroslav Malý, CSc",Jaroslav Malý,43415,104
1695889637360770,Hempire,These ads ran without a disclaimer,43409,14
104849228016426,Zdeněk Hostomský - nezávislý kandidát do Senátu,Hostomský do senátu,43127,12
100411331619612,Čínský virus bez cenzury: Info a tipy,Jiří Chlebníček,43066,18
484775724880694,JUDr. Miroslav Antl,Miroslav Hofmann,42964,27
115112916857629,Karel Podzimek - místostarosta města Znojma,Karel Podzimek,42782,104
196138910406401,Democrats Abroad Czech Republic,Democrats Abroad,42658,20
321213001604,TOP 09 - Královéhradecký kraj,TOP 09,42274,31
635889067041074,Martin Pavlík,Martin Pavlík,42239,33
102433907827641,Bamboo Europe CZ,BAMBOO EUROPE CZ,41849,2
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,41845,166
106678374343331,Trikolóra Ústecký kraj,Trikolóra,41797,34
573004246504627,Bohéma,Dobrý spolek,41586,23
350495845030493,Fairtrade Česko a Slovensko,Fairtrade Česko a Slovensko,41500,6
1815379688541829,Jiří Nedvěd - radní,Nedvěd Jiří,41351,55
350510278898035,Radim Ivan - Princ z ODS,PRINCZ Z ODS,41066,58
436437856700706,Jana Krumpholcová,TOP 09,40686,23
106751901043327,Tomáš Klinecký,Tomáš Klinecký,40444,74
28312410177,World Food Programme,These ads ran without a disclaimer,40356,26
400970967000022,Jan Zahradil,These ads ran without a disclaimer,40334,8
1866971343363946,Contraband.zone - Originální dárky,These ads ran without a disclaimer,40102,1
631133217512876,JUDr. Jan Riedl -  nezávislý občanský kandidát do Senátu ČR,JUDr. Jan Riedl,40035,18
106138857557725,Zachraňme Baťovu nemocnici,Martinek Ondrej,39963,38
206045673805,Deník.cz,Občanská demokratická strana,39933,6
545254525495201,Pravý břeh - Institut Petra Fialy,ODS - Občanská demokratická strana,39749,118
474594005906021,Olga Sehnalová,Olga Sehnalová,39509,33
121742606287904,Zasaďme se Hnutí DUHA,Hnutí DUHA - Přátelé Země Česká republika,39337,95
100373898383832,Petr Horák,Petr Horák,39312,32
1158186927548185,Šárka Jelínková,KDU-ČSL,39311,33
263551603800539,Martin Kolovratník,Martin Kolovratník - ANO,39075,25
163920643812298,Karel Rais - poslanec Parlamentu ČR,ANO Bude líp Jihomoravský kraj,38597,18
1917661888252695,Tomáš Goláň - senátor,"Tomáš Goláň, soukromá osoba",38595,6
113437470509035,Za normální svět,Karel Halačka,38147,40
552880155054516,Jan Sobotka,Starostové a nezávislí • STAN,37944,23
117823623864,Transparency International ČR,These ads ran without a disclaimer,37933,11
1161002053978712,Jitka Seitlová,Lambert Vojtech,37744,41
1569827246387763,Energie pro život,These ads ran without a disclaimer,37558,2
115602606970,Česká pirátská strana - Piráti Plzeňský kraj,Česká pirátská strana - Piráti Plzeňský kraj,37553,37
40744295977,Brembo,These ads ran without a disclaimer,37501,1
388570561882834,Radka Trylčová,ODS - Občanská demokratická strana,37052,93
317398901621260,IKEA,These ads ran without a disclaimer,36715,5
194925720639766,Náš REGION,A11,36523,7
126192198099,Richard Vereš,Veres Richard,36495,124
104087291057753,Pavel Vacek,Stepanek Arnost,36335,23
104654572907664,E.ON Energy Globe,These ads ran without a disclaimer,36323,100
