Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
284438308283373,DIE LINKE.Sonneberg,DIE LINKE. Sonneberg,377,8
222771321239,Junge Union Hochtaunus,Junge Union Hochtaunus,377,20
377032236028533,"SPD Trudering, Riem und Messestadt",Eva Katharina Blomberg,377,13
332293580729514,FrauElla-Brautmoden,These ads ran without a disclaimer,377,10
1516172942029028,CDU-Fraktion im Landtag Brandenburg,CDU Fraktion im Landtag Brandenburg,376,6
107792939279178,Deichtorhallen Hamburg,Deichtorhallen Hamburg,376,9
747140245310540,FDP SHS,FDP Schloß Holte-Stukenbrock,376,54
343390425820857,Rostocker Straßenbahn AG,These ads ran without a disclaimer,376,3
111207007388258,Karsten Koch,Karsten Koch,376,29
235630919966678,AfD Landkreis Kassel,AfD Landkreis Kassel,376,10
138253189667780,CSU Freyung-Grafenau,CSU-Kreisverband Freyung-Grafenau,376,8
107108381045512,Jonas Klein für Kothen / Lichtenplatz,SPD Unterbarmen,375,22
321114127559,Junge Union Velbert,Junge Union Velbert,375,8
102128271830028,Maximilian Friedrich,Maximilian Friedrich,375,17
408010356255902,Fastlane Marketing,These ads ran without a disclaimer,375,1
113328738690350,BÜNDNIS 90/DIE GRÜNEN Erzgebirge,These ads ran without a disclaimer,375,21
122737604583817,DIE LINKE Warstein Möhnesee Rüthen,DIE LINKE,375,12
110937620620657,Klaus-Rainer Willeke,Klaus-Rainer Willeke,375,5
358878438318448,CSU Talkessel,JU BGL Süd,375,14
114442293641079,Gadget Outlook,These ads ran without a disclaimer,375,1
938587379491828,DIE LINKE. Kreisverband Frankfurt am Main,These ads ran without a disclaimer,375,6
2127220577540307,Finanzwende,Bürgerbewegung Finanzwende e.V.,374,5
1992721914159596,Ivo Teichmann - Ihr Landtagsabgeordneter im Wahlkreis  51 - Sächs. Schweiz,Ivo Tilo Teichmann,374,6
158941998037686,FDP Kenzingen,These ads ran without a disclaimer,374,31
100328955128059,Seçkin Dize,Seçkin Dize,374,22
113272256789138,Richard Eder - Ihr Kandidat für den Stadtrat Landshut,Richard Markus Eder,374,21
2200577803542828,Holger Grießhammer - Mitglied im Bezirkstag von Oberfranken,Holger Kurt Grießhammer,374,7
272174299602455,Peter Aumer,Joachim Günter Strauß,374,30
17501746247,ImmoScout24,These ads ran without a disclaimer,374,6
2630668590493210,"Matthias Schniebel, FDP",These ads ran without a disclaimer,373,5
128496430642925,Tina Fischer,Tina Fischer,373,8
927494517420953,"Jörg Dornau, AfD",These ads ran without a disclaimer,373,20
108103115899516,Greenpeace Jugend,These ads ran without a disclaimer,373,1
178540365493494,TAS Emotional Marketing GmbH,These ads ran without a disclaimer,373,4
105819560797369,Fuer-Nandlstadt.de,CSU Nandlstadt,373,19
100151881923406,UNSER LANDKREIS VON MORGEN,CDU Giessen,373,6
416528078934646,Geht ohne e.V.,Bernd Günter,373,36
234100833457277,SPD Vogtland,These ads ran without a disclaimer,373,7
125311780442,Markus Walter,These ads ran without a disclaimer,373,7
114619445590892,Gemeinde Hinte,These ads ran without a disclaimer,372,2
173289976053171,CDU Ratingen,CDU Ratingen,372,27
100624174816856,"Holger Laschka, Oberbürgermeisterkandidat Schweinfurt",Holger Laschka,372,7
102720414598583,andre_kraft_hamburg,These ads ran without a disclaimer,372,45
107044130731769,Sylvia Bogenreuther IHRE Bürgermeisterkandidatin Sachsen b.Ansbach,Sylvia Bogenreuther,372,11
403066756490588,SPD Hartenberg-Münchfeld,These ads ran without a disclaimer,372,10
1413759668868860,CSU Heroldsbach,These ads ran without a disclaimer,372,7
1002249093149874,Grüne Friedrichsdorf,BÜNDNIS 90/DIE GRÜNEN - Ortsverband Friedrichsdorf,372,4
196218843725115,FDP Jüchen,Simon Kell,372,22
330404097616032,Godow - Gedöns vonner Insel,Stephan Siegfried,372,13
269663970193,CDU Schwalmstadt,CDU Stadtverband Schwalmstadt,372,28
227743204230314,Andreas von Brühl,Andreas Sebastian Graf Von Brühl,372,17
748843655221499,SPD Leipzig-Südwest,SPD Leipzig-Südwest,371,28
999367923728167,Robert Pöschl,Franz Nusser,371,11
413111928829833,Bürgermeisterkandidat Jean-Christophe Thieke,Jean Christophe Thieke,371,22
545283305635575,Stiftung Historische Museen Hamburg,Stiftung Historische Museen Hamburg,371,19
140119866067404,SPD Neckarsulm,SPD Neckarsulm,371,22
729117877114249,SPD Baesweiler,SPD Baesweiler,371,15
575560019207168,Deutsche Bundesbank,These ads ran without a disclaimer,371,3
440162402679174,CDU Pirmasens,These ads ran without a disclaimer,371,24
956080184452111,CDU Brohltal,CDU Brohltal,370,47
118144341578432,gewaltlos.de,Sozialdienst katholischer Frauen e.V.,370,21
208089552992501,Der Ingenieur mit dem Edelwasser,These ads ran without a disclaimer,370,20
1617378265151992,Mio Mio,These ads ran without a disclaimer,370,2
176878685718453,Der Landesbeauftragte für politische Bildung Schleswig-Holstein,Ernst Mariano Dieter Christian Kniese,370,8
1393167744264822,Bundesministerium für Verkehr und digitale Infrastruktur,These ads ran without a disclaimer,370,4
575715812512357,Maximilian Funke-Kaiser,Maximilian Ludwig Funke Genannt Kaiser,370,23
230716240304159,apotal.de -Ihre Versandapotheke-,These ads ran without a disclaimer,370,7
150070305049510,Eckart von Hirschhausen,These ads ran without a disclaimer,370,1
101804924806231,Mosaik Deutschland e. V.,Mosaik Deutschland e.V.,370,9
50169278122,SPD Sachsen,These ads ran without a disclaimer,370,8
1834138080133957,FDP Kerpen,Tamer Kandemir,370,24
113488693558434,Berliner Korrespondenzen,Allianz Kulturstiftung,370,32
106104661041462,Bestboxx,These ads ran without a disclaimer,370,8
924000477688086,Bartek Basta Finanzen - PL,B.B.Finanzen,370,1
1629990253744016,Brut UK,These ads ran without a disclaimer,370,16
103168781106572,Solaranlagen in Brandenburg,EnergyX,370,39
114309501938752,Der Kleine Krebs Verlag,Der kleine Krebs Verlag GmbH,370,34
151949161505233,CDU-Fraktion im Saarländischen Landtag,These ads ran without a disclaimer,370,1
102494844845915,Lucht Für Langenfeld,Torsten Georg Simon Fuhrmann,369,19
1919337184980244,Campus Burghausen,TH Rosenheim - Campus Burghausen,369,5
100305958435033,Michael Kohllöffel,Andreas Nagel,369,12
104520494466975,Friends for Climate,Christoph Gottfried Eduard Goßler,369,12
100836631475800,Klaus Wührl-Struller,Klaus Wührl-Struller,368,7
