Page ID,Page Name,Disclaimer,Amount Spent (PLN),Number of Ads in Library
203675933025899,"Ministerstwo Kultury, Dziedzictwa Narodowego i Sportu",Ministerstwo Kultury i Dziedzictwa Narodowego,17137,94
277892342334350,Akcja Demokracja,Akcja Demokracja,17043,91
1715700672019998,LoveAir.pl,These ads ran without a disclaimer,16998,98
602546603094182,Muzeum Pamięci Sybiru,Muzeum Pamięci Sybiru,16949,32
152299864806918,Bartosz Arłukowicz,Bartosz Arłukowicz,16944,66
426784938154184,PrzyjacieleZwierzat.pl,PrzyjacieleZwierzat.pl,16921,792
1467418970166506,Anna Fotyga - Biuro Poselskie,KW Prawo i Sprawiedliwość,16770,39
481009832080945,Carpatree,These ads ran without a disclaimer,16419,6
333409683428621,Nowa Konfederacja,Nowa Konfederacja,16154,87
1260589107386608,Zbigniew Rau,Mateusz Sebastian Pali,16139,14
323540101461265,Fundacja Neuron+,Fundacja Neuron+,15918,95
353030510177,Centrum Nauki Kopernik,Centrum Nauki Kopernik,15881,118
364911490222284,Włodzimierz Czarzasty,KW Sojusz Lewicy Demokratycznej,15537,33
1643686859194259,Sebastian Kaleta,"Sebastian Kaleta, Poseł na Sejm RP",15447,59
1466582986968628,Platforma Obywatelska Wielkopolska,KKW Koalicja Obywatelska PO .N iPL Zieloni,15426,5
403820169762537,Renergy - odnawialna energia słoneczna,Krzysztof Rodak,15185,10
1967695263556184,Sylwia Spurek,European Parliament–S&D Group,15175,69
177473808919,Polskie Stronnictwo Ludowe,Komitet Wyborczy Polskie Stronnictwo Ludowe,15140,7
1759040441044970,SmogLab,SmogLab,15102,84
108566759302831,Cognitus Centrum Szkoleń,Cognitus Centrum Szkoleń,14987,200
427996317730040,"Tymoteusz Myrda, Członek Zarządu Województwa Dolnośląskiego",Takie Studio,14910,129
113356018705476,Rzeczpospolita,Rzeczpospolita,14909,83
118084194963414,Kultura Liberalna,Kultura Liberalna,14803,40
141833139301,Krzysztof Bosak,Konfederacja KORWiN Braun Liroy Narodowcy,14793,156
439822419795040,Nowoczesne Kobiety - Lelum.pl,These ads ran without a disclaimer,14726,2
770401946407523,Hypnotize Butik,Adam Jędrzejczak,14690,28
274904002573727,Joanna Skrzydlewska,Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni,14640,59
84022354529,Radio ZET,Radio ZET,14519,17
743083706091027,Odpowiedzialność,Odpowiedzialność,14332,65
517037508369297,zrzutka.pl,zrzutka.pl,14267,31
567066860335135,Błękitny Węgiel,Błękitny Węgiel,14255,206
1576591379231457,Paweł Kobyliński - Poseł na Sejm RP VIII kadencji,"Paweł Kobyliński, kandydat Koalicji Europejskiej do Europarlamentu",14225,44
649437431853583,Kujawsko-Pomorskie,Kujawsko-Pomorskie,14201,70
115883558423028,Volvo Car Poland,These ads ran without a disclaimer,14188,3
6243987495,Spotify,These ads ran without a disclaimer,14172,70
355335447987852,Katarzyna Stachowicz - Osoba Publiczna,Katarzyna Karolina Stachowicz,14034,64
1593828134172917,Open Eyes Economy,Open Eyes Economy,13959,92
112077363639199,Krajowe Centrum ds. AIDS,Clickad Interactive,13947,5
345172606093631,Ekoparty.pl,Ekoparty,13731,8
230415296997772,bydgoszcz.pl,bydgoszcz.pl,13582,31
134214926657042,Radosław Sikorski,KKW Koalicja Europejska PO PSL SLD .N Zieloni,13536,73
1619161438342114,Krzysztof Tchórzewski,KW PiS,13355,9
152431494900977,Polacy,Grzegorz Roman Granowski,13290,137
398824790221548,Marek Balt,KKW Koalicja Europejska PO PSL SLD  .N Zieloni,13226,51
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,13208,16
112772436876166,Gdańskie Forum Zmian Klimatu,Urząd Miejski w Gdańsku - Wydział Środowiska,13100,15
48391402694,Partia Zieloni,KKW Koalicja Europejska PO PSL SLD .N Zieloni,13000,36
148975835158813,analizy.pl,These ads ran without a disclaimer,12955,6
798249970192065,Edukacja dla Dobrego Klimatu,Wojciech Makowski,12834,43
693499534003775,Michał Boni,KKW Koalicja Europejska PO PSL SLD .N Zieloni,12736,109
340914445999142,Państwowe Muzeum Etnograficzne,Państwowe Muzeum Etnograficzne,12706,31
106464864246053,Polskie Zakłady Bukmacherskie - PZBuk,These ads ran without a disclaimer,12701,9
1704183986461824,Jacek Bury,KKW Koalicja Obywatelska PO .N iPL Zieloni,12644,35
163488137165461,innogy Polska,Innogy Poland,12580,78
654912251187357,Grupa PGE,These ads ran without a disclaimer,12532,5
350958838905984,Praca w Komisji Wyborczej,KW Prawica,12500,4
148975835158813,analizy.pl,analizy.pl,12467,63
74863922834,Krytyka Polityczna,Krytyka Polityczna,12433,144
172103990044692,Laur- Polskie Ubranka dla Dzieci,Agata Markiewicz,12366,292
180185019111,Tygodnik Powszechny,Tygodnik Powszechny,12360,88
290606948382,ERGO Hestia,ERGO Hestia,12262,89
147645371952078,WOJAS,These ads ran without a disclaimer,12231,14
185265414715,Onet,These ads ran without a disclaimer,12213,97
147547541961576,Council of the European Union,Council of the European Union,12207,238
1407603489492838,Instytut na rzecz Kultury Prawnej Ordo Iuris,Instytut na rzecz Kultury Prawnej Ordo Iuris,12129,86
376660699164364,Rafał Komarewicz,Rafał Komarewicz,12056,88
141990312513970,Paweł Kowal,KKW Koalicja Obywatelska PO .N iPL Zieloni,12012,27
329822703732548,player.pl,These ads ran without a disclaimer,12000,2
110708862329064,nazwa.pl,These ads ran without a disclaimer,11999,1
1495480087399256,Jacek Ozdoba,"Jacek Ozdoba, Poseł na Sejm RP",11956,24
415023695371209,NOIZZ.pl,NOIZZ.pl,11955,44
1747566525274487,Klar,Klar,11914,179
1374526796141456,Wrocławski Budżet Obywatelski,Gmina Wrocław | Wydział Partycypacji Społecznej,11873,147
136932946358747,Michał Dworczyk,Michał Dworczyk (PiS),11800,57
831495030528894,Maciej Gdula,KW Sojusz Lewicy Demokratycznej,11793,28
213564818806045,Marcin Jabłoński Zarząd Województwa Lubuskiego Koalicja Obywatelska,Marcin Artur Jabłoński,11791,46
266659403739571,uStyle.pl,These ads ran without a disclaimer,11774,29
371359310400318,Janusz Kowalski,Janusz Kowalski,11654,76
57544755889,Amnesty International Polska,These ads ran without a disclaimer,11602,32
220473935337563,Gotard - Biuro Rachunkowe,Gotard Biuro Rachunkowe,11524,3
294018820689458,Reserved Kids,These ads ran without a disclaimer,11310,2
129996417011607,Marcin OCIEPA,These ads ran without a disclaimer,11284,111
106708966025605,Wydawnictwo W.A.B.,Grupa Wydawnicza Foksal,11244,43
111005887038781,Prawnicy Pomagają,Prawnicy Pomagają,11233,65
112414626788784,Internetowe Konto Pacjenta,Clickad Interactive,11149,7
114265080356649,EuroKlima - Energy,EuroKlima Energy,11138,31
465990636788016,Krzysztof Jurgiel,Overs sp. z o.o.,11094,45
1643686859194259,Sebastian Kaleta,KW Prawo i Sprawiedliwość,11093,19
1402012100098838,Twój Kurier Olsztyński - TKO.pl,Twój Kurier Olsztyński - TKO.pl,11061,187
1576591379231457,Paweł Kobyliński - Poseł na Sejm RP VIII kadencji,"Paweł Kobyliński, KKW Koalicja Europejska PO PSL SLD .N Zieloni",11033,8
362682677158537,Michał Kowalski - Profil Publiczny,Michał Kowalski - materiał nie stanowi elementu kampanii wyborczej,10964,54
104861407546760,Marek Sawicki,Komitet Wyborczy Polskiego Stronnictwa Ludowego,10910,29
1578491772374130,Małopolska Organizacja Turystyczna,Małopolska Organizacja Turystyczna,10818,16
255605291822511,GovTech Polska,GovTech Polska,10690,23
110496355685054,Projekt Test,Fundacja Edukacji Społecznej,10688,148
107590839282206,BNP Paribas Bank Polska,BNP Paribas Bank Polska S.A.,10607,8
169913419732194,Michał Jaros,Michał Jaros,10589,325
1571353656411671,Wojciech Ahnert,Komitet Wyborczy Prawo i Sprawiedliwość,10501,7
1851601788258292,Sztuczna Inteligencja,Ośrodek Przetwarzania Informacji - Państwowy Instytut Badawczy,10463,214
638214303009886,Kosmal & Kwiatkowski - kancelaria restrukturyzacyjna,Dariusz Kwiatkowski,10419,156
256314858405394,Paweł Olszewski,KKW Koalicja Obywatelska PO .N iPL Zieloni,10371,82
2162224773873936,Anna Tarczyńska,KW Sojusz Lewicy Demokratycznej,10355,34
