Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
2883897561835357,Frank Wrap,Beeswax Frank Wrap,≤100,3
958347047640309,Clifton Grima,These ads ran without a disclaimer,≤100,4
314107445765412,Ivan Castillo,These ads ran without a disclaimer,≤100,9
1442808799090985,Adrian Delia,These ads ran without a disclaimer,≤100,5
2224889257597303,Newsbook Front Page,These ads ran without a disclaimer,≤100,11
163410914245507,Rebecca Bartolo Cutajar,These ads ran without a disclaimer,≤100,12
172303409602558,Jean Claude MICALLEF,Jean Claude MICALLEF,≤100,16
435404653282308,The Malta Chamber,The Malta Chamber,≤100,7
102294737787464,Extinction Rebellion Malta,Andrei Serban,≤100,5
278704709504427,Bajada Violet,These ads ran without a disclaimer,≤100,3
112698837110211,Charlene Zammit Moore #respecteducators,Charlene Zammit Moore,≤100,17
1040577706078198,Dr Michael Briguglio - Sociologist,These ads ran without a disclaimer,≤100,13
424428710903598,Jason Azzopardi,Jason Azzopardi,≤100,5
122770477891114,Chris Said,Said Christopher,≤100,20
803055243122680,Silvio Schembri,These ads ran without a disclaimer,≤100,5
101180068265019,Spazji Miftuħa,Mark Sultana,≤100,2
157252641338,OANDA,These ads ran without a disclaimer,≤100,22
1533230256924257,Etergo,These ads ran without a disclaimer,≤100,12
1516659388597243,Dominic Grech - Sindku Siġġiewi,These ads ran without a disclaimer,≤100,8
1417638468449319,Clint Camilleri,These ads ran without a disclaimer,≤100,4
141366725876424,European Greens,These ads ran without a disclaimer,≤100,3
1343072129119715,Robert Abela,Partit Laburista,≤100,1
696730300526987,Muscat's Corruption Legacy,These ads ran without a disclaimer,≤100,31
2178422028892229,Mercieca Michael,These ads ran without a disclaimer,≤100,2
215692425233360,Ryan Ellul,These ads ran without a disclaimer,≤100,2
111115483615131,Ivan Bartolo,Ivan Bartolo,≤100,6
424428710903598,Jason Azzopardi,These ads ran without a disclaimer,≤100,4
107898832590939,European Commission,These ads ran without a disclaimer,≤100,5
618663318144317,Graham Bencini,These ads ran without a disclaimer,≤100,7
1697968053854945,Local Councils' Association Malta,These ads ran without a disclaimer,≤100,2
177402865644666,2point3,2point3,≤100,8
101476914844690,Partit Popolari,Antoine Sciberras,≤100,2
2025563217727669,Energy & Water Agency,Energy & Water Agency - Malta,≤100,5
103878617716242,Free speech in Malta,These ads ran without a disclaimer,≤100,1
361934417981005,Joseph Buttigieg,Joseph Buttigieg,≤100,24
1592315247711321,Alex Mangion - Kandidat għall-Elezzjoni Ġenerali,Alex Mangion,≤100,4
120634585355666,LuXembourg - Let's make it happen,These ads ran without a disclaimer,≤100,23
290329184871610,Noel Cassar,These ads ran without a disclaimer,≤100,2
108700894109717,Lotus Green Cleaning Solutions,Attard Co Food,≤100,4
1553546918281660,Blissful,These ads ran without a disclaimer,≤100,2
937361196305743,Carmel Cacopardo,These ads ran without a disclaimer,≤100,2
768196116913459,Perit Chris Grech,These ads ran without a disclaimer,≤100,4
103349538324996,Medik Store The Point,Medik Store The Point,≤100,6
358517304881336,Alexander Calleja Zammit,These ads ran without a disclaimer,≤100,7
1586042681631099,"Falzon Renald - Sindku Ħal Qormi, Belt Pinto",These ads ran without a disclaimer,≤100,10
282716808429391,SDM - Studenti Demokristjani Maltin,SDM - Studenti Demokristjani Maltin,≤100,17
2135254273201628,Alan Said - P.N. Rabat,These ads ran without a disclaimer,≤100,1
195308614721782,Mina Tolu,Mina Tolu,≤100,5
1573441899601646,Hismile,These ads ran without a disclaimer,≤100,51
101476914844690,Partit Popolari,Bernard Cachia,≤100,1
129656770508811,"Science in the City, Malta","Science in the City, Malta",≤100,7
1040487469355385,TripActions,These ads ran without a disclaimer,≤100,1
2883897561835357,Frank Wrap,Adriana Frank,≤100,7
102023751671829,Nature Italy,These ads ran without a disclaimer,≤100,21
295012094374090,Luke Vella,These ads ran without a disclaimer,≤100,1
102364045054179,Consulta Popular Venezuela Malta,Fernando Berroterán,≤100,37
351618118844864,LaburistiPożittivi,These ads ran without a disclaimer,≤100,7
1399942566977195,Roderick Galdes,These ads ran without a disclaimer,≤100,3
553957061374411,Albert Buttigieg,These ads ran without a disclaimer,≤100,6
149678245701889,Zaffarese Henry,These ads ran without a disclaimer,≤100,7
103427188065769,Positive Parenting Malta,These ads ran without a disclaimer,≤100,1
110752262946048,Crypterium,These ads ran without a disclaimer,≤100,13
489925237846658,Bjorn Formosa,These ads ran without a disclaimer,≤100,3
163410914245507,Rebecca Bartolo Cutajar,Rebecca Bartolo Cutajar,≤100,10
1449052665318446,European Asylum Support Office - EASO,These ads ran without a disclaimer,≤100,8
309359272432391,ADPD,ADPD,≤100,5
180224712010171,National Commission for the Promotion of Equality,These ads ran without a disclaimer,≤100,2
137952676232512,Agenda Bookshop,These ads ran without a disclaimer,≤100,2
281792696039349,Daniel Mallia,These ads ran without a disclaimer,≤100,7
246637346239319,L-Avukat Dr. Cynthia Tomasuolo,Cynthia Tomasuolo,≤100,2
410157219370162,Dr. Anthony Buttigieg,These ads ran without a disclaimer,≤100,2
300604797503389,BusinessToday,These ads ran without a disclaimer,≤100,2
813712275381189,ARC - allied rainbow communities,Malta Pride,≤100,1
762892603861338,FreeHour Malta,FreeHour Malta,≤100,1
351232452315515,IoD Malta,These ads ran without a disclaimer,≤100,1
2179353462172189,Maria Magri - Kunsilliera Luqa,These ads ran without a disclaimer,≤100,5
262348261329007,Sandro Azzopardi,These ads ran without a disclaimer,≤100,1
867277666662087,Moviment Graffitti,These ads ran without a disclaimer,≤100,2
300669099950010,European Commission Representation in Malta,Kite Group,≤100,1
132791520127077,Malta Football Players Association,Malta Football Players Association,≤100,1
415604782569895,Daystechar,These ads ran without a disclaimer,≤100,4
2171614669626227,George Vella,Norma Maria Saliba,≤100,3
237205046474568,UĦM Voice of the Workers,UĦM Voice of the Workers,≤100,1
503688919974843,I Will Not Go Away - Alison Bezzina,Alison Bezzina,≤100,4
146955527905,EU Civil Protection & Humanitarian Aid - ECHO,These ads ran without a disclaimer,≤100,6
8002590959,Rainforest Action Network,These ads ran without a disclaimer,≤100,26
123558628342491,emPOWer,These ads ran without a disclaimer,≤100,1
552827045208995,Abela Shirley,These ads ran without a disclaimer,≤100,1
277980849002904,Miriam Dalli,Kearon Bruno,≤100,7
105856698215138,Clifford Zahra Fenech,Clifford Zahra Fenech,≤100,7
249229579276947,Francine Farrugia,Farrugia Francine,≤100,6
1215602581914433,Hoxton Property,These ads ran without a disclaimer,≤100,1
1708791049357843,Exodus DGT TV,These ads ran without a disclaimer,≤100,2
919232861444360,European Youth Event,These ads ran without a disclaimer,≤100,20
126060760828576,24Bottles,These ads ran without a disclaimer,≤100,6
770607739706970,Edward Zammit Lewis,These ads ran without a disclaimer,≤100,5
122032897960020,Tabib Michael Farrugia,These ads ran without a disclaimer,≤100,2
246948085450851,Welcome Auto Dealer,These ads ran without a disclaimer,≤100,1
459141094120121,Microgaming,These ads ran without a disclaimer,≤100,1
320930617958813,Malta Tourism Authority,These ads ran without a disclaimer,≤100,1
101399524632760,"Turn this stone now, Mr Prime Minister",Francis Piscopo,≤100,3
121022298792171,Our Green Voice,These ads ran without a disclaimer,≤100,1
618663318144317,Graham Bencini,Graham Bencini,≤100,4
249229579276947,Francine Farrugia,These ads ran without a disclaimer,≤100,4
1584376358520826,Brass&Knuckle,These ads ran without a disclaimer,≤100,1
121293891876346,Ghislaine Bongailas,These ads ran without a disclaimer,≤100,2
729721630404362,LifeNetwork Foundation Malta,These ads ran without a disclaimer,≤100,3
100296704772989,Wildlife Mission,These ads ran without a disclaimer,≤100,14
145269432164243,Your Europe,These ads ran without a disclaimer,≤100,4
458322967548582,Byron Camilleri,These ads ran without a disclaimer,≤100,6
370176067131807,Sephora Cutajar,Sephora Cutajar,≤100,5
1050376408471129,James Grech,These ads ran without a disclaimer,≤100,3
270802657201040,Brian Azzopardi,These ads ran without a disclaimer,≤100,2
1974078922828964,Nancy Aquilina,These ads ran without a disclaimer,≤100,3
558899981162708,Tabib Malcolm Paul Galea,Malcolm Paul Galea,≤100,4
1381697648737022,Kite Group,These ads ran without a disclaimer,≤100,1
114328080252332,Djalogu Soċjali,These ads ran without a disclaimer,≤100,1
1798882800328461,CGTNEurope,These ads ran without a disclaimer,≤100,18
1735193520033873,Omar Farrugia,These ads ran without a disclaimer,≤100,2
292293830844024,BirdLife Malta,Mark Sultana,≤100,1
191675791644759,PMD Coatings Malta Ltd,These ads ran without a disclaimer,≤100,1
273301332769918,Academic Positions,These ads ran without a disclaimer,≤100,1
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,4
690417757823946,Lorna Vassallo,These ads ran without a disclaimer,≤100,2
1276503745842895,DYLN Alkaline Water Bottle,These ads ran without a disclaimer,≤100,22
143022755731834,𝐈𝐬𝐥𝐚𝐦 𝐍𝐞𝐭,These ads ran without a disclaimer,≤100,42
107054307565189,Stefano Sicari,Stefano Sicari,≤100,9
109046204197502,Malta Front,These ads ran without a disclaimer,≤100,3
1966141770356840,Medcann Malta,These ads ran without a disclaimer,≤100,2
2420521731359154,Tony Borg Il-Bajdu,These ads ran without a disclaimer,≤100,1
243013872440622,BOV,These ads ran without a disclaimer,≤100,1
2260273080910886,Roberta Bonello,These ads ran without a disclaimer,≤100,1
316002512431444,Tech@Facebook,These ads ran without a disclaimer,≤100,2
360424321432255,Doha Debates,These ads ran without a disclaimer,≤100,5
2015607438527346,VAT4U Malta,VAT4U Malta,≤100,1
822545511213169,CORE Platform,Matteo Privitelli,≤100,5
338292270162296,Vince Fabri,These ads ran without a disclaimer,≤100,1
104213858323252,Hermann Schiavone,Samuel Schiavone,≤100,2
1890637811192253,Totem Time,These ads ran without a disclaimer,≤100,1
382708685123310,Claudio Grech,Claudio Grech,≤100,1
101382654920063,The Town Barber,Tristan Spiteri,≤100,7
350085338448590,Marisa D'Amato Kunsillier Zurrieq,These ads ran without a disclaimer,≤100,2
405455176197672,Stephania Fenech,These ads ran without a disclaimer,≤100,1
135084726701358,Victim Support Malta,Victim Support Malta,≤100,5
398799110143354,Lev Haolam - Supporting Israel,These ads ran without a disclaimer,≤100,78
101176814872722,Global Pride 2020,These ads ran without a disclaimer,≤100,2
1629990253744016,Brut UK,These ads ran without a disclaimer,≤100,15
0,Instagram User 6208034747,These ads ran without a disclaimer,≤100,2
751965871557286,James Aaron Ellul,James Aaron Ellul,≤100,5
123892568288417,Marion Parnis,Marion Parnis,≤100,6
406824526101449,Roberta Metsola,These ads ran without a disclaimer,≤100,2
232916293796403,Simon Borg Mexxej Moviment Patrijotti Maltin,These ads ran without a disclaimer,≤100,3
2224910794488248,PN mill-ġdid rebbieħ,These ads ran without a disclaimer,≤100,2
439892043109851,MYNT,KRWN Malta,≤100,3
2329229207306309,Josef Fitzpatrick,These ads ran without a disclaimer,≤100,8
433245190070343,Dr Joseph M Sammut,These ads ran without a disclaimer,≤100,1
182073298490036,Gaia,These ads ran without a disclaimer,≤100,7
2487231614629786,Kylie D’Amato,These ads ran without a disclaimer,≤100,2
625107021262384,Foodpowerr,These ads ran without a disclaimer,≤100,2
130099643691668,Malta Philharmonic Orchestra,These ads ran without a disclaimer,≤100,3
118206712183521,Keith Tanti,SEANCINI - CREATIVE GURU,≤100,3
249365915654546,veco,These ads ran without a disclaimer,≤100,1
636015460129738,Elenia Desira,These ads ran without a disclaimer,≤100,3
642559889500480,Daniel Attard,These ads ran without a disclaimer,≤100,2
262681199589,ALDE Party – Liberals and Democrats for Europe,ALDE Party – Liberals and Democrats for Europe,≤100,10
101682231339458,TwoPapasMalta,These ads ran without a disclaimer,≤100,4
491591718021089,EZVIZ Malta,These ads ran without a disclaimer,≤100,1
271830532850963,The Malta Community Chest Fund Foundation Fun Run,These ads ran without a disclaimer,≤100,1
813712275381189,ARC - allied rainbow communities,Allied Rainbow Communities,≤100,1
142321109812185,AIBC Summit,These ads ran without a disclaimer,≤100,1
