Page ID,Page Name,Disclaimer,Amount Spent (CZK)
274780189299925,ČSSD Olomoucký kraj,ČSSD,442
43720460853,České rekordy,Dobrý den,439
1723512437928737,Karolína Stařecká - radní pro investice našeho města,These ads ran without a disclaimer,439
2358864424394921,Milion chvilek pro demokracii Dobříš,These ads ran without a disclaimer,438
1823236497984996,"Jiří Ptáček, starosta Prahy 3",Ptacek Jiri,437
362029244271239,Protext ČTK,ČTK,437
101288484695293,Evropská soda,České zájmy v EU,434
577282959139813,Melnicko.cz,These ads ran without a disclaimer,433
106933691258349,Svoboda a spravedlnost,Mikuláš Hrstka,430
1958623787693604,Oběti české justice,These ads ran without a disclaimer,430
225296017595082,STAN Pardubický kraj,Starostové a nezávislí • STAN,428
107942197433640,Luboš Peterka - starosta městyse Radomyšl,KDU-ČSL,428
106467504379023,Igor Karen,These ads ran without a disclaimer,426
129237636702,Jan Hamáček,These ads ran without a disclaimer,424
302134090396266,Zdeněk Hřib - primátor Prahy,These ads ran without a disclaimer,422
224923858400165,Nenecháváme to tak,These ads ran without a disclaimer,422
308240522910962,Lukáš Otys,Otys Lukáš,421
356451014434612,Marian Jurečka,These ads ran without a disclaimer,420
104198671585131,Letiště nehraje fér,Letiště nehraje fér,420
535611970260854,Evropa společně,These ads ran without a disclaimer,419
244816482042,czc.cz,These ads ran without a disclaimer,419
168706679163,Ulice,These ads ran without a disclaimer,417
114723720265985,Pavel Staněk - aktivnipolitik.cz,Pavel Staněk,416
363231251092690,Pavel Růžička,Hedvika Mašková,414
327249731312625,Irena Mastná - zastupitelka města Berouna,These ads ran without a disclaimer,414
1095114177216463,Jan Holásek - senátor za Hradecko,Hradecký demokratický klub,414
403914896415276,Jihočeši 2012  Strakonice,Radek Sosna,413
297841233673,uLekare.cz,uLekare.cz,412
632369483479043,Jan Hrnčíř - SPD,These ads ran without a disclaimer,411
106778834450391,Trikolóra Českolipsko,Kamila Švejdová,410
1679933578972328,Obnovitelně.cz,Obnovitelně.cz,409
93433992603,Hospodářské noviny,Hospodářské noviny,409
469612116404009,Enmag.cz,Robert Zelenka,409
707458719329186,STAN Praha,Stan Praha,406
678579752191602,Šance pro Příbram,These ads ran without a disclaimer,406
101835907967540,Pohádky písmene Pé,Pohadky pismene Pe,404
1305036916201094,Stanislav Folwarczny,ODS s podporou TOP09,403
111824023759047,Trikolóra Chýně,Trikolóra Chýně,401
130631260290858,Česká pirátská strana - Středočeský kraj,These ads ran without a disclaimer,400
176459739425212,Ivo Grüner,ČSSD,399
121241337968943,"Koruna Česká - monarchistická strana Čech, Moravy a Slezska",These ads ran without a disclaimer,398
866908280156557,Ondřej Novák,Ondřej Novák,397
152666231599779,Rail Nation,These ads ran without a disclaimer,393
209788605791373,Heinrich-Böll-Stiftung Prague,"Heinrich-Böll-Stiftung e.V., kancelář v Praze",392
366107457198874,Rise of Kingdoms,These ads ran without a disclaimer,390
206791046438534,Plant for the Planet - Česká republika,Plant-for-the-Planet Czech Republic Nadace,389
2297075120544646,Spojenci pro kraj,JsmePRO! (Spojenci pro kraj),388
2324431914442679,bez Dodavatele,These ads ran without a disclaimer,387
460558621177512,Zálohujme.cz,These ads ran without a disclaimer,385
108839520897805,Anna Šabatová,"Zelení, Senátor 21, Idealisté",382
475634159849828,"Řekni mámě, aby volila vlastence",These ads ran without a disclaimer,382
193203844428379,Mgr. Lubomír Volný -  Jednotní,These ads ran without a disclaimer,381
106767797724979,Lepší Sever,Lepší Sever,379
117787408240075,Radim Fiala - SPD,Svoboda a přímá demokracie - SPD,379
275042429350706,Tomáš Zdechovský,These ads ran without a disclaimer,378
1488605881230760,Jak úspěšně kandidovat v komunálních volbách,Svatopluk Bartík,377
112784160094255,Klimatická univerzita Pelhřimov,Karel Kratochvíl,375
149177838467059,Klinika estetické medicíny Petra Clinic,Tomáš Řehořek,374
108268154129861,Supercesko.cz,These ads ran without a disclaimer,372
1857776044492164,Pulse of Europe - Czech Republic,Pulse of Europe - Czech Republic,371
799083753454179,Voxpot,Vojtěch Boháč,370
106095148065364,Chromozoom.cz,These ads ran without a disclaimer,370
1742712405959600,Musil Reality,Musil Reality,369
809013272468388,Aliance pro rodinu,Aliance pro rodinu,368
1477502522567102,Expres.cz,These ads ran without a disclaimer,367
855121337981887,MUDr. Jiří Mašek,Jiří Doležal,367
320585683491,Jobs.cz,These ads ran without a disclaimer,367
1512968832346528,TMBK,These ads ran without a disclaimer,366
278212515809,Kancelář Evropského parlamentu,Egomotion,366
939352226249020,Mycí centrum Vlašim,These ads ran without a disclaimer,365
571165316730867,David Smoljak,STAN,364
805334462833623,Daňový poplatník,Jiří Hudera,362
565024890311148,Advokátní kancelář Brož & Sokol & Novák,These ads ran without a disclaimer,361
106751901043327,Tomáš Klinecký,These ads ran without a disclaimer,360
1489993057961601,Pragotour s.r.o,These ads ran without a disclaimer,358
220079674674602,BEROUN SOBĚ,Martin Veselý,357
102055234640947,Zákony zavčas,These ads ran without a disclaimer,356
111967816946329,Denisa Řezníčková ODS,Denisa Řezníčková,355
249538682400743,"Marek Tichý, režisér a kameraman",Tichy Marek,354
1606515249591266,Gifts Of Life,These ads ran without a disclaimer,354
55876739776,Greenpeace Česká republika,These ads ran without a disclaimer,351
310596576131756,Šimon Reich,These ads ran without a disclaimer,351
624708137705353,Energie Země,Jiri Hokr,350
203732456358084,Siemens Home,These ads ran without a disclaimer,350
45193974316,Home Credit,These ads ran without a disclaimer,350
676692975786082,Fun Games For Free,These ads ran without a disclaimer,347
480305829018059,Badland Brawl,These ads ran without a disclaimer,347
406815443432437,Royal Esthetic Praha,These ads ran without a disclaimer,344
124596689571,Radio Wave,Kolarova Anna,343
1432139953751418,Josef Středula,Josef Středula,342
527351247377965,European Committee of the Regions,European Committee of the Regions,340
339052456846258,Treecelet,These ads ran without a disclaimer,340
131404269206,Asistence,Dark Side,340
120634585355666,LuXembourg - Let's make it happen,These ads ran without a disclaimer,340
106046725258,Soukromníci  - Strana soukromníků České republiky,Soukromníci  - Strana soukromníků České republiky,338
590698724378598,Piráti - Mladá Boleslav,František Kopřiva,333
112850170405761,Jakub Rejzek,These ads ran without a disclaimer,332
467444320106677,Eco-Fin,Czech Info,331
1954794938113236,AK Andršová,Petra Andršová,324
337302141482,Marianne,These ads ran without a disclaimer,323
524288824339961,Václav Hampl,Höfer Karel,322
198910890909558,Neplatiči s.r.o,These ads ran without a disclaimer,321
210113642821797,Queer Geography,Queer Geography z.s.,319
48262720942,Timmy Trumpet,These ads ran without a disclaimer,318
2399205093469033,Irish Tax Agency,These ads ran without a disclaimer,314
101484914694453,Bioscop - Filmy v kinech,These ads ran without a disclaimer,313
110161077470917,Strážci,Evropské hodnoty z.s.,312
195765777641,Mariánský sloup v Praze na Staroměstském náměstí,These ads ran without a disclaimer,311
1097852260312329,Ing. et Ing. Leo Luzar,Luzar Leo,311
111265737680316,VOLTE online,Volte online s.r.o.,309
100181628028299,Nakladatelství Naštvané matky,These ads ran without a disclaimer,308
557700780951101,"Vojtěch Bednář, sociolog",Bednar Vojtech,307
490930117644709,Lubomír Zaorálek,ČSSD,305
386508422184056,"Ing.Alexandr Gegalčij, kandidat-Europarlament, Rozumní&Národní Demokracie",Gegalczij Alexandr,304
203197030603239,8 Billion Trees,These ads ran without a disclaimer,303
1056305897786154,DIKO,These ads ran without a disclaimer,303
589026071265968,dotaceEU.cz,Ministerstvo pro místní rozvoj,302
471116009577102,"CZECOM, s.r.o.",These ads ran without a disclaimer,302
240084269372558,Můžeš,Spolek přátel Konta Bariéry,301
144402356366613,STAN Brandýs nad Labem - Stará Boleslav,These ads ran without a disclaimer,300
271054846258904,Praha 3,Praha 3,294
652477438231260,Český národní panel,These ads ran without a disclaimer,294
103430204491217,Robert Šlachta,These ads ran without a disclaimer,294
2692083230805240,Ivana Kerlesová,Ivana Kerlesová,290
2156599824411421,"Vojtěch Kos, místostarosta Prahy 12",Vojtěch Kos,290
100307671455380,Pražská Drbna,Pražská Drbna,289
317802208282505,Alexandr Vondra,These ads ran without a disclaimer,289
1416733788557863,Pravda o vodě a voda lidem,These ads ran without a disclaimer,288
345130612167293,Demagog.CZ,These ads ran without a disclaimer,287
437210819674800,Živý kraj,These ads ran without a disclaimer,286
115642853684175,Děti zpátky do škol,Jan Kříž,285
164024787880257,Adapterra,Nadace Partnerství,285
132823193399274,CA Stella Kladno,These ads ran without a disclaimer,283
252353085687918,Rozdílové smlouvy,These ads ran without a disclaimer,282
115366836686423,RegrowAustralia,These ads ran without a disclaimer,282
1034382646741170,Mansoor Maitah do Senátu,These ads ran without a disclaimer,281
120959047955027,ODS Mělník,These ads ran without a disclaimer,280
158158938269,Impact Hub Praha,These ads ran without a disclaimer,278
366846114139594,Vědci pro Českou republiku,These ads ran without a disclaimer,277
1568527393427836,Česká Krev,These ads ran without a disclaimer,276
280553792042816,KSČM Praha,KV KSČM Praha,275
130930366952714,Volba Pro Kladno,Kateřina Přibylová,275
125035774186918,Vzdělávací instituce MILLS,These ads ran without a disclaimer,274
124786020878704,ZOO Mořský svět,These ads ran without a disclaimer,274
2009576439281074,Všeobecný lékař,These ads ran without a disclaimer,272
512602058940738,Kniha Volba - Jakub Trpiš,These ads ran without a disclaimer,272
178161610228,FSC Česká republika,FSC Česká republika,272
171976652332,Mladí demokraté,These ads ran without a disclaimer,272
109155350763664,MCore,These ads ran without a disclaimer,269
106628687794367,Jana Marková -Trikolóra,Jana Marková,268
114739157022319,MUDr. Stanislav Holobrada,These ads ran without a disclaimer,268
491085587663987,Fair & Bio Pražírna,Markova Lucie,267
118502486727614,Otakar Březina,Otakar Březina,266
1240809492610426,"Jan Jakob - starosta, poslanec",These ads ran without a disclaimer,265
373589366156209,Saxo Bank,These ads ran without a disclaimer,262
166296824308080,Climate-KIC Czech Republic Hub,These ads ran without a disclaimer,262
847960851959160,Marketing Makers,Michal Blažek,261
125453991470833,SENÁTOR 21,Senátor 21,258
120343698070515,Liberální institut,Liberální institut,258
1956144064659620,BlueTV,These ads ran without a disclaimer,258
361212200669048,Koalice pro Plzeňský kraj,KDU-ČSL,258
320144481956623,HLAS,HLAS,256
112329648788739,"Někdo má štěstí v lásce, někdo ve hře a někdo v ničem. :-(",These ads ran without a disclaimer,254
487997318434653,Festival svobodné kultury,These ads ran without a disclaimer,253
716099648421432,Manboxeo - originální dárky,These ads ran without a disclaimer,253
